# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.413393905299e-10       5.471978032569e-15       4.100992203829e-13       0.000000000000e+00       8.524999860815e-09       4.552524915273e-10      -2.145827038979e-12 
    3       1.336660639885e-10       8.120235228015e-15       4.863578622584e-13       0.000000000000e+00       5.235432765501e-09       3.242971322500e-10      -1.765079331632e-12 
    4       1.261862552423e-10       8.233770929391e-15       4.780303386593e-13       0.000000000000e+00       3.643339221077e-09       2.464481446014e-10      -1.293801877548e-12 
    5       1.204111577382e-10       6.512427862871e-15       4.267276379387e-13       0.000000000000e+00       2.722273512639e-09       1.951259021280e-10      -8.552776939497e-13 
    6       1.163018383267e-10       4.249398569971e-15       3.586658706426e-13       0.000000000000e+00       2.128666882290e-09       1.590172998603e-10      -4.904319318182e-13 
    7       1.135664331155e-10       2.423528632423e-15       2.904996126189e-13       0.000000000000e+00       1.719186533921e-09       1.324907462750e-10      -2.146638547365e-13 
    8       1.118418102695e-10       1.366922825298e-15       2.312463977130e-13       0.000000000000e+00       1.422192335291e-09       1.123103126330e-10      -2.830536077933e-14 
    9       1.109071837542e-10       9.261988938519e-16       1.851204217426e-13       0.000000000000e+00       1.198377127197e-09       9.649716766450e-11       7.808792393172e-14 
   10       1.105616513209e-10       7.861836433030e-16       1.532384375376e-13       0.000000000000e+00       1.024777135826e-09       8.387865515968e-11       1.201724854935e-13 
   11       1.106728557983e-10       7.115934619458e-16       1.346190406757e-13       0.000000000000e+00       8.605685274562e-10       7.398677957952e-11       1.163929173119e-13 
   12       1.111797255640e-10       6.197116498538e-16       1.268594767039e-13       0.000000000000e+00       7.523217837462e-10       6.555910451964e-11       8.583458435511e-14 
   13       1.119410410180e-10       5.291032720518e-16       1.269923173592e-13       0.000000000000e+00       6.634490195388e-10       5.857738330019e-11       4.442084123076e-14 
   14       1.128799399578e-10       4.774527790573e-16       1.321868404431e-13       0.000000000000e+00       5.894879173993e-10       5.249529035743e-11       4.096804854221e-15 
   15       1.140110133290e-10       4.746486801649e-16       1.400705322719e-13       0.000000000000e+00       5.272207810173e-10       4.740680323762e-11      -2.699689028516e-14 
   16       1.153424174680e-10       5.032430260401e-16       1.488087762139e-13       0.000000000000e+00       4.742682460202e-10       4.311921706765e-11      -4.533988664808e-14 
   17       1.167291322496e-10       5.418390049885e-16       1.573693678158e-13       0.000000000000e+00       4.288332554535e-10       3.939644918816e-11      -5.098880684385e-14 
   18       1.182313812006e-10       5.828868671904e-16       1.652733448405e-13       0.000000000000e+00       3.893869187611e-10       3.603229379235e-11      -4.677459753340e-14 
   19       1.198622794981e-10       6.347555583244e-16       1.725721584722e-13       0.000000000000e+00       3.553092530006e-10       3.303416583287e-11      -3.609710668464e-14 
   20       1.215411553140e-10       7.103503044423e-16       1.795260945151e-13       0.000000000000e+00       3.252850915214e-10       3.040783032084e-11      -2.331656850361e-14 
   21       1.232822327725e-10       8.146718747372e-16       1.865193448776e-13       0.000000000000e+00       2.988456896874e-10       2.811585724917e-11      -1.148280930046e-14 
   22       1.250964729130e-10       9.487821615859e-16       1.939701811937e-13       0.000000000000e+00       2.753626601173e-10       2.606702027952e-11      -3.253901768589e-15 
   23       1.269697081089e-10       1.109425084746e-15       2.019839676842e-13       0.000000000000e+00       2.545142901963e-10       2.422421657678e-11       5.640321879442e-16 
   24       1.288632515091e-10       1.291627556183e-15       2.105056795841e-13       0.000000000000e+00       2.358189513814e-10       2.254791096973e-11       8.795791702922e-17 
   25       1.307975350613e-10       1.495327780542e-15       2.193392351640e-13       0.000000000000e+00       2.190583548346e-10       2.103480633290e-11      -3.631314580959e-15 
   26       1.327929916455e-10       1.721587247647e-15       2.281643407659e-13       0.000000000000e+00       2.039310253668e-10       1.967684295860e-11      -8.946268660950e-15 
   27       1.348381989838e-10       1.969785783764e-15       2.365528410581e-13       0.000000000000e+00       1.902557211919e-10       1.845536474864e-11      -1.425807211146e-14 
   28       1.369039274100e-10       2.238776740660e-15       2.440299874643e-13       0.000000000000e+00       1.777966585930e-10       1.733995036618e-11      -1.800413779919e-14 
   29       1.389974986174e-10       2.528876249815e-15       2.503612536125e-13       0.000000000000e+00       1.664916005733e-10       1.632133012009e-11      -1.980712966337e-14 
   30       1.411269089002e-10       2.840850127319e-15       2.553742057449e-13       0.000000000000e+00       1.562213076750e-10       1.538634139507e-11      -1.970573040154e-14 
   31       1.432896499253e-10       3.175785495014e-15       2.589257192283e-13       0.000000000000e+00       1.467784419574e-10       1.451462986657e-11      -1.789660834822e-14 
   32       1.454880612786e-10       3.536114400396e-15       2.610475222949e-13       0.000000000000e+00       1.381140813901e-10       1.370540262140e-11      -1.493910390480e-14 
   33       1.477170276181e-10       3.925026220345e-15       2.618606862905e-13       0.000000000000e+00       1.301658915346e-10       1.295923289218e-11      -1.165361249654e-14 
   34       1.499652649277e-10       4.345597961002e-15       2.615145613620e-13       0.000000000000e+00       1.228217474884e-10       1.227211582767e-11      -8.910363870785e-15 
   35       1.522387321406e-10       4.798560646739e-15       2.600904642495e-13       0.000000000000e+00       1.160448284614e-10       1.164118554897e-11      -7.020624323965e-15 
   36       1.545437703807e-10       5.283734568739e-15       2.576679429275e-13       0.000000000000e+00       1.097822568188e-10       1.106007197035e-11      -6.138921836868e-15 
   37       1.568815551845e-10       5.800854093557e-15       2.543083253335e-13       0.000000000000e+00       1.039540787115e-10       1.051970136949e-11      -6.345994941488e-15 
   38       1.592529338556e-10       6.350468447056e-15       2.499062316996e-13       0.000000000000e+00       9.854558430750e-11       1.001793099291e-11      -7.385239399290e-15 
   39       1.616539802486e-10       6.933319452889e-15       2.442873992660e-13       0.000000000000e+00       9.353960251138e-11       9.552514008944e-12      -8.831006335252e-15 
   40       1.640738450158e-10       7.550095900940e-15       2.372455970438e-13       0.000000000000e+00       8.888836797707e-11       9.118186655782e-12      -1.015010894454e-14 
   41       1.665000474397e-10       8.201444223268e-15       2.285818233636e-13       0.000000000000e+00       8.453019332608e-11       8.708471025754e-12      -1.083306126620e-14 
   42       1.689380272960e-10       8.888013083368e-15       2.182425531766e-13       0.000000000000e+00       8.045243052466e-11       8.322415265228e-12      -1.085608774940e-14 
   43       1.713968343408e-10       9.610417433640e-15       2.062227782898e-13       0.000000000000e+00       7.664451237726e-11       7.959609211621e-12      -1.035767273070e-14 
   44       1.738834652801e-10       1.036922313837e-14       1.925291127572e-13       0.000000000000e+00       7.307906441383e-11       7.618194148375e-12      -9.515693948767e-15 
   45       1.764024832249e-10       1.116493021715e-14       1.771773680741e-13       0.000000000000e+00       6.972174495449e-11       7.295664193396e-12      -8.522907686487e-15 
