# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.413398889726e-10       5.472223945099e-15       4.100992158734e-13       2.459124944358e-19       8.524999860815e-09       4.552524915273e-10      -2.145827038979e-12 
    3       1.336670585862e-10       8.120727196513e-15       4.863578421740e-13       4.919681430426e-19       5.235432765501e-09       3.242971322500e-10      -1.765079331632e-12 
    4       1.261879078814e-10       8.234591192041e-15       4.780302809967e-13       8.202609052138e-19       3.643339221077e-09       2.464481446014e-10      -1.293801877548e-12 
    5       1.204136274200e-10       6.513658839164e-15       4.267275067111e-13       1.230970334660e-18       2.722273512639e-09       1.951259021280e-10      -8.552776939497e-13 
    6       1.163052805837e-10       4.251122897651e-15       3.586656129195e-13       1.724311483833e-18       2.128666882290e-09       1.590172998603e-10      -4.904319318182e-13 
    7       1.135709995126e-10       2.425829199109e-15       2.904991558861e-13       2.300529163719e-18       1.719186533921e-09       1.324907462750e-10      -2.146638547365e-13 
    8       1.118476479993e-10       1.369882794021e-15       2.312456475968e-13       2.959891548124e-18       1.422192335291e-09       1.123103126330e-10      -2.830536077933e-14 
    9       1.109144353343e-10       9.299017218414e-16       1.851192601210e-13       3.702683358013e-18       1.198377127197e-09       9.649716766450e-11       7.808792393172e-14 
   10       1.105704543964e-10       7.907130935357e-16       1.532367210531e-13       4.529198875054e-18       1.024777135826e-09       8.387865515968e-11       1.201724854935e-13 
   11       1.106833430494e-10       7.170336071455e-16       1.346165996475e-13       5.439735037259e-18       8.605685274562e-10       7.398677957952e-11       1.163929173119e-13 
   12       1.111920247149e-10       6.261468687927e-16       1.268561144270e-13       6.434584863348e-18       7.523217837462e-10       6.555910451964e-11       8.583458435511e-14 
   13       1.119552749406e-10       5.366182381985e-16       1.269878097664e-13       7.514031436458e-18       6.634490195388e-10       5.857738330019e-11       4.442084123076e-14 
   14       1.128962268600e-10       4.861324417933e-16       1.321809360953e-13       8.678342652796e-18       5.894879173993e-10       5.249529035743e-11       4.096804854221e-15 
   15       1.140294670156e-10       4.845782389706e-16       1.400629526363e-13       9.927766907732e-18       5.272207810173e-10       4.740680323762e-11      -2.699689028516e-14 
   16       1.153631476597e-10       5.145078982158e-16       1.487992161834e-13       1.126252985208e-17       4.742682460202e-10       4.311921706765e-11      -4.533988664808e-14 
   17       1.167522449435e-10       5.545247876236e-16       1.573574964222e-13       1.268283230652e-17       4.288332554535e-10       3.939644918816e-11      -5.098880684385e-14 
   18       1.182569790633e-10       5.970792939527e-16       1.652588061352e-13       1.418884881965e-17       3.893869187611e-10       3.603229379235e-11      -4.677459753340e-14 
