# Matter power spectrum P(k) at redshift z=0
# for k=1.05281e-05 to 7.52753 h/Mpc,
# number of wavenumbers equal to 698
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.052808673426e-05       4.927704916601e+01 
       2.352858924850e-05       1.068021548501e+02 
       3.657561012704e-05       1.632553984531e+02 
       4.970490954058e-05       2.192744222130e+02 
       6.295284960798e-05       2.752190609630e+02 
       7.635672464984e-05       3.313572633583e+02 
       8.995510218379e-05       3.879172438039e+02 
       1.037881792750e-04       4.451085515996e+02 
       1.178981588899e-04       5.031329389103e+02 
       1.323296509351e-04       5.621911246195e+02 
       1.471301026669e-04       6.224871815464e+02 
       1.623502630831e-04       6.842321943398e+02 
       1.780446857044e-04       7.476469642589e+02 
       1.942722737312e-04       8.129650487498e+02 
       2.110968708146e-04       8.804353742242e+02 
       2.285878994669e-04       9.503244923993e+02 
       2.468210472554e-04       1.022919549478e+03 
       2.658789981420e-04       1.098530616682e+03 
       2.858522023285e-04       1.177493410352e+03 
       3.068396723921e-04       1.260171779865e+03 
       3.289497859130e-04       1.346960098601e+03 
       3.523010647711e-04       1.438285411402e+03 
       3.770228884296e-04       1.534609061263e+03 
       4.032560825723e-04       1.636427824845e+03 
       4.311533055425e-04       1.744273598474e+03 
       4.608791338532e-04       1.858712317674e+03 
       4.926097263128e-04       1.980340556985e+03 
       5.265319271458e-04       2.109780004868e+03 
       5.628416567827e-04       2.247669051810e+03 
       6.017414415631e-04       2.394651047308e+03 
       6.434369587909e-04       2.551358932361e+03 
       6.881325299149e-04       2.718396139368e+03 
       7.360255881959e-04       2.896314146179e+03 
       7.873002779907e-04       3.085587458199e+03 
       8.421205003064e-04       3.286587525697e+03 
       9.006228800244e-04       3.499557561367e+03 
       9.629102586023e-04       3.724590612375e+03 
       1.029046371625e-03       3.961613496841e+03 
       1.099052320508e-03       4.210378606720e+03 
       1.172905281518e-03       4.470465786915e+03 
       1.250539634497e-03       4.741292227871e+03 
       1.331850389704e-03       5.022133522450e+03 
       1.416698510612e-03       5.312190295127e+03 
       1.504917533074e-03       5.610529174676e+03 
       1.596320800420e-03       5.916157468635e+03 
       1.690708669444e-03       6.228076338548e+03 
       1.787875165225e-03       6.545290640926e+03 
       1.887613730830e-03       6.866831090618e+03 
       1.989721890091e-03       7.191771142171e+03 
       2.094004788356e-03       7.519239144475e+03 
       2.200277682713e-03       7.848426712108e+03 
       2.308367517734e-03       8.178592096961e+03 
       2.418113751445e-03       8.509061830579e+03 
       2.529368598707e-03       8.839229278151e+03 
       2.641996845201e-03       9.168552057387e+03 
       2.755875362810e-03       9.496547096821e+03 
