# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.413386000207e-10       5.471976859855e-15       4.100992713238e-13       0.000000000000e+00       8.556606924276e-09       4.566649636272e-10      -2.150238776749e-12 
    3       1.336638458238e-10       8.120233961490e-15       4.863580160015e-13       0.000000000000e+00       5.268437172213e-09       3.258325267606e-10      -1.768813531618e-12 
    4       1.261819620747e-10       8.233771800642e-15       4.780305590133e-13       0.000000000000e+00       3.675859835151e-09       2.480121921589e-10      -1.295889460639e-12 
    5       1.204041117870e-10       6.512431696822e-15       4.267279976936e-13       0.000000000000e+00       2.753899545014e-09       1.966739834267e-10      -8.559981435579e-13 
    6       1.162914585360e-10       4.249403420979e-15       3.586664848733e-13       0.000000000000e+00       2.159296559470e-09       1.605268141680e-10      -4.903284080599e-13 
    7       1.135520802589e-10       2.423529883982e-15       2.905004772159e-13       0.000000000000e+00       1.748772361267e-09       1.339512084105e-10      -2.141490550017e-13 
    8       1.118228179124e-10       1.366916074705e-15       2.312475294218e-13       0.000000000000e+00       1.450676423537e-09       1.137190736068e-10      -2.762654639914e-14 
    9       1.108828946166e-10       9.261830313723e-16       1.851219210658e-13       0.000000000000e+00       1.225705461239e-09       9.785114729620e-11       7.879553684606e-14 
   10       1.105315503516e-10       7.861610529329e-16       1.532403478009e-13       0.000000000000e+00       1.050924557175e-09       8.517437295384e-11       1.208394097293e-13 
   11       1.106363467410e-10       7.115671430599e-16       1.346212246244e-13       0.000000000000e+00       8.849006373736e-10       7.659361830912e-11       1.163841483484e-13 
   12       1.111361840035e-10       6.196820688570e-16       1.268618259529e-13       0.000000000000e+00       7.755494192488e-10       6.628878403904e-11       8.731020797971e-14 
   13       1.118898853637e-10       5.290674469872e-16       1.269949266998e-13       0.000000000000e+00       6.855802710044e-10       5.864589471149e-11       4.494970269994e-14 
   14       1.128205651531e-10       4.774061091732e-16       1.321898659443e-13       0.000000000000e+00       6.106010528172e-10       5.386687451240e-11       3.964188521354e-15 
   15       1.139429078043e-10       4.745874849479e-16       1.400741430555e-13       0.000000000000e+00       5.473560984181e-10       4.868616872267e-11      -2.626344795668e-14 
   16       1.152648585095e-10       5.031651346053e-16       1.488131964253e-13       0.000000000000e+00       4.934396886380e-10       4.354128812833e-11      -4.514494658780e-14 
   17       1.166417552331e-10       5.417426396107e-16       1.573748300850e-13       0.000000000000e+00       4.470486641826e-10       4.044097154158e-11      -5.196201103868e-14 
   18       1.181336062719e-10       5.827680514273e-16       1.652801495024e-13       0.000000000000e+00       4.065681700761e-10       3.709992570323e-11      -4.719581713265e-14 
   19       1.197534843889e-10       6.346073093661e-16       1.725806903686e-13       0.000000000000e+00       3.715184040710e-10       3.358339680181e-11      -3.532284854237e-14 
   20       1.214208084485e-10       7.101624928415e-16       1.795368034551e-13       0.000000000000e+00       3.407636998649e-10       3.102329262907e-11      -2.282537536484e-14 
   21       1.231498229121e-10       8.144333007616e-16       1.865326270620e-13       0.000000000000e+00       3.136863653351e-10       2.901691635963e-11      -1.191530479877e-14 
   22       1.249514846835e-10       9.484813311643e-16       1.939863737457e-13       0.000000000000e+00       2.894117488652e-10       2.671190109297e-11      -3.560437338713e-15 
   23       1.268116285457e-10       1.109049701893e-15       2.020036256463e-13       0.000000000000e+00       2.677147880686e-10       2.452651187046e-11       8.804999387002e-16 
   24       1.286915748806e-10       1.291164019796e-15       2.105296455142e-13       0.000000000000e+00       2.483070547322e-10       2.314540533180e-11       3.465847813162e-16 
   25       1.306117814490e-10       1.494759318272e-15       2.193683499973e-13       0.000000000000e+00       2.309667970247e-10       2.205774802466e-11      -3.809250302646e-15 
   26       1.325927049984e-10       1.720893404067e-15       2.281993977514e-13       0.000000000000e+00       2.153148564594e-10       2.046370159837e-11      -9.216307781746e-15 
   27       1.346228979213e-10       1.968944327567e-15       2.365949148936e-13       0.000000000000e+00       2.011144227197e-10       1.867217052940e-11      -1.432171224894e-14 
   28       1.366730949424e-10       2.237764031076e-15       2.440805294789e-13       0.000000000000e+00       1.880860726507e-10       1.729245974317e-11      -1.784388304952e-14 
   29       1.387506377530e-10       2.527665732831e-15       2.504218772293e-13       0.000000000000e+00       1.761970977493e-10       1.634475564939e-11      -1.947934427986e-14 
   30       1.408635658022e-10       2.839411629228e-15       2.554466119277e-13       0.000000000000e+00       1.653875355225e-10       1.562144941092e-11      -1.928010756481e-14 
   31       1.430094121417e-10       3.174084794102e-15       2.590116902150e-13       0.000000000000e+00       1.555025926878e-10       1.489734957471e-11      -1.745190354979e-14 
   32       1.451905148752e-10       3.534112634736e-15       2.611489533646e-13       0.000000000000e+00       1.464734465408e-10       1.414898776203e-11      -1.454264029924e-14 
   33       1.474017394538e-10       3.922679356766e-15       2.619795918826e-13       0.000000000000e+00       1.381848709370e-10       1.341540389985e-11      -1.135009786752e-14 
   34       1.496317807336e-10       4.342856713091e-15       2.616530745956e-13       0.000000000000e+00       1.304721782086e-10       1.273294251886e-11      -8.716808686396e-15 
   35       1.518865947557e-10       4.795371893320e-15       2.602508505432e-13       0.000000000000e+00       1.233080113778e-10       1.210449361090e-11      -6.930000903149e-15 
   36       1.541725245810e-10       5.280041808348e-15       2.578526035671e-13       0.000000000000e+00       1.166707160075e-10       1.151889370562e-11      -6.117442166542e-15 
   37       1.564907514689e-10       5.796597094211e-15       2.545198181187e-13       0.000000000000e+00       1.105095902586e-10       1.096271724619e-11      -6.336463199933e-15 
   38       1.588421469789e-10       6.345581430320e-15       2.501473643931e-13       0.000000000000e+00       1.048103202360e-10       1.043489735950e-11      -7.340344206848e-15 
   39       1.612228182267e-10       6.927730248912e-15       2.445612755735e-13       0.000000000000e+00       9.954513500569e-11       9.936373775345e-12      -8.726796493992e-15 
   40       1.636219546054e-10       7.543725471899e-15       2.375556448661e-13       0.000000000000e+00       9.465146898499e-11       9.465916217189e-12      -9.991956758129e-15 
   41       1.660271086895e-10       8.194206485859e-15       2.289317729339e-13       0.000000000000e+00       9.005281606209e-11       9.021178876352e-12      -1.065390997261e-14 
   42       1.684437102506e-10       8.879815790452e-15       2.186362419705e-13       0.000000000000e+00       8.573662822328e-11       8.602769312090e-12      -1.068759044327e-14 
   43       1.708807818207e-10       9.601162310078e-15       2.066640750559e-13       0.000000000000e+00       8.169675426208e-11       8.211159188722e-12      -1.022027318808e-14 
   44       1.733452854134e-10       1.035880573199e-14       1.930218860117e-13       0.000000000000e+00       7.791047107657e-11       7.845423002808e-12      -9.415889396297e-15 
   45       1.758417526726e-10       1.115323973798e-14       1.777254977901e-13       0.000000000000e+00       7.434740526671e-11       7.503841227773e-12      -8.453772336667e-15 
   46       1.783716534476e-10       1.198484167406e-14       1.607904340654e-13       0.000000000000e+00       7.100264612832e-11       7.186203989846e-12      -7.451848429191e-15 
   47       1.809333981325e-10       1.285390353702e-14       1.422396782556e-13       0.000000000000e+00       6.787124561181e-11       6.891994547748e-12      -6.524431442105e-15 
   48       1.835221739211e-10       1.376064165088e-14       1.221069074073e-13       0.000000000000e+00       6.493807852778e-11       6.619652519081e-12      -5.804742329989e-15 
   49       1.861296795639e-10       1.470519332057e-14       1.004369607193e-13       0.000000000000e+00       6.217708957028e-11       6.366496951934e-12      -5.445872519229e-15 
   50       1.887474662436e-10       1.568767083196e-14       7.726756640588e-14       0.000000000000e+00       5.955909622810e-11       6.129312771358e-12      -5.570711802767e-15 
   51       1.913786446431e-10       1.670834849546e-14       5.256758790748e-14       0.000000000000e+00       5.707944135656e-11       5.906476255565e-12      -6.103474128384e-15 
   52       1.940288971410e-10       1.776752058898e-14       2.628282518388e-14       0.000000000000e+00       5.473654501723e-11       5.696273520765e-12      -6.894106488060e-15 
   53       1.967030561545e-10       1.886544781666e-14      -1.647112296903e-15       0.000000000000e+00       5.252366258256e-11       5.496242944644e-12      -7.763923180721e-15 
   54       1.994050085969e-10       2.000235666120e-14      -3.128921899544e-14       0.000000000000e+00       5.042853438913e-11       5.303129455609e-12      -8.504167432260e-15 
   55       2.021375956572e-10       2.117838434216e-14      -6.270497356213e-14       0.000000000000e+00       4.843722280083e-11       5.113843611818e-12      -8.928532167946e-15 
   56       2.049025018650e-10       2.239339916248e-14      -9.590950673276e-14       0.000000000000e+00       4.654754224752e-11       4.928722562283e-12      -9.049296297595e-15 
   57       2.077001711158e-10       2.364713439776e-14      -1.309030140287e-13       0.000000000000e+00       4.475835183643e-11       4.748999112532e-12      -8.942425029439e-15 
   58       2.105297152924e-10       2.493923607334e-14      -1.676823269751e-13       0.000000000000e+00       4.306547712287e-11       4.575861489957e-12      -8.698093829146e-15 
   59       2.133888185390e-10       2.626926019743e-14      -2.062408382326e-13       0.000000000000e+00       4.146152290936e-11       4.410446780714e-12      -8.421352344477e-15 
   60       2.162736415365e-10       2.763666999417e-14      -2.465684267279e-13       0.000000000000e+00       3.993568604470e-11       4.253834366618e-12      -8.232788329942e-15 
   61       2.191803409862e-10       2.904091123607e-14      -2.886541841716e-13       0.000000000000e+00       3.847676038841e-11       4.106851879352e-12      -8.239289728520e-15 
   62       2.221102431721e-10       3.048166426011e-14      -3.324954791357e-13       0.000000000000e+00       3.708336339527e-11       3.969457013514e-12      -8.437159961167e-15 
   63       2.250656670791e-10       3.195864386686e-14      -3.780908039087e-13       0.000000000000e+00       3.575568325276e-11       3.841204677041e-12      -8.788335000888e-15 
   64       2.280483680609e-10       3.347152592959e-14      -4.254371663798e-13       0.000000000000e+00       3.449240505774e-11       3.721409965605e-12      -9.248087039019e-15 
   65       2.310594933642e-10       3.501994710542e-14      -4.745301040563e-13       0.000000000000e+00       3.329062490061e-11       3.609135650825e-12      -9.764739647021e-15 
   66       2.340995376528e-10       3.660350454638e-14      -5.253636980805e-13       0.000000000000e+00       3.214576394930e-11       3.503179668479e-12      -1.027938293827e-14 
   67       2.371682985318e-10       3.822175561059e-14      -5.779305872468e-13       0.000000000000e+00       3.105148253340e-11       3.402062606725e-12      -1.072558872986e-14 
   68       2.402654102634e-10       3.987411774988e-14      -6.322191087579e-13       0.000000000000e+00       3.000138687605e-11       3.304373577729e-12      -1.104420540491e-14 
   69       2.433921699103e-10       4.155954526277e-14      -6.882040163979e-13       0.000000000000e+00       2.899474292103e-11       3.209917181661e-12      -1.123186034083e-14 
   70       2.465500030187e-10       4.327678622324e-14      -7.458538981562e-13       0.000000000000e+00       2.803177125393e-11       3.118777538905e-12      -1.130181880951e-14 
   71       2.497398890104e-10       4.502447371796e-14      -8.051338246799e-13       0.000000000000e+00       2.711191754361e-11       3.030977183751e-12      -1.126987286632e-14 
   72       2.529623314946e-10       4.680112300433e-14      -8.660052898056e-13       0.000000000000e+00       2.623381247408e-11       2.946473718430e-12      -1.115444218201e-14 
   73       2.562173285791e-10       4.860512866858e-14      -9.284261510920e-13       0.000000000000e+00       2.539523167630e-11       2.865156467141e-12      -1.097667487463e-14 
   74       2.595043431823e-10       5.043476178388e-14      -9.923505703518e-13       0.000000000000e+00       2.459305566006e-11       2.786843130085e-12      -1.076054834134e-14 
   75       2.628222733451e-10       5.228816706839e-14      -1.057728954184e-12       0.000000000000e+00       2.382322974581e-11       2.711276437490e-12      -1.053297009036e-14 
   76       2.661699841095e-10       5.416354552540e-14      -1.124512944463e-12       0.000000000000e+00       2.308177607529e-11       2.638198764420e-12      -1.031829524704e-14 
   77       2.695480807596e-10       5.605974709642e-14      -1.192671571893e-12       0.000000000000e+00       2.236813127002e-11       2.567599079902e-12      -1.012050197147e-14 
   78       2.729574065044e-10       5.797578142014e-14      -1.262177953778e-12       0.000000000000e+00       2.168234744295e-11       2.499505160433e-12      -9.937933732087e-15 
   79       2.763984917178e-10       5.991064288402e-14      -1.333004548758e-12       0.000000000000e+00       2.102407591906e-11       2.433907905152e-12      -9.768580838029e-15 
   80       2.798715357653e-10       6.186331158576e-14      -1.405123200896e-12       0.000000000000e+00       2.039254874101e-11       2.370759588517e-12      -9.610066780384e-15 
   81       2.833763888316e-10       6.383275429492e-14      -1.478505183761e-12       0.000000000000e+00       1.978656017464e-11       2.309972112992e-12      -9.459634573456e-15 
   82       2.869125337472e-10       6.581792541443e-14      -1.553121244518e-12       0.000000000000e+00       1.920444821458e-11       2.251415261716e-12      -9.314133096031e-15 
   83       2.904790678156e-10       6.781776794209e-14      -1.628941648010e-12       0.000000000000e+00       1.864407608982e-11       2.194914951191e-12      -9.170003432643e-15 
