# Matter power spectrum P(k) at redshift z=0
# for k=1.05281e-05 to 7.52753 h/Mpc,
# number of wavenumbers equal to 698
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.052808673426e-05       4.927703916002e+01 
       2.352858924850e-05       1.068021511119e+02 
       3.657561012704e-05       1.632553994843e+02 
       4.970490954058e-05       2.192744257822e+02 
       6.295284960798e-05       2.752190645163e+02 
       7.635672464984e-05       3.313573067244e+02 
       8.995510218379e-05       3.879172838218e+02 
       1.037881792750e-04       4.451085392550e+02 
       1.178981588899e-04       5.031329371057e+02 
       1.323296509351e-04       5.621911389486e+02 
       1.471301026669e-04       6.224872273997e+02 
       1.623502630831e-04       6.842321983029e+02 
       1.780446857044e-04       7.476469645228e+02 
       1.942722737312e-04       8.129650819400e+02 
       2.110968708146e-04       8.804353744717e+02 
       2.285878994669e-04       9.503245018852e+02 
       2.468210472554e-04       1.022919548414e+03 
       2.658789981420e-04       1.098530617485e+03 
       2.858522023285e-04       1.177493411743e+03 
       3.068396723921e-04       1.260171780392e+03 
       3.289497859130e-04       1.346960102691e+03 
       3.523010647711e-04       1.438285416852e+03 
       3.770228884296e-04       1.534609093833e+03 
       4.032560825723e-04       1.636427827401e+03 
       4.311533055425e-04       1.744273600808e+03 
       4.608791338532e-04       1.858712321554e+03 
       4.926097263128e-04       1.980340564568e+03 
       5.265319271458e-04       2.109780012429e+03 
       5.628416567827e-04       2.247669064412e+03 
       6.017414415631e-04       2.394651065753e+03 
       6.434369587909e-04       2.551358956219e+03 
       6.881325299149e-04       2.718396172104e+03 
       7.360255881959e-04       2.896314185940e+03 
       7.873002779907e-04       3.085587534615e+03 
       8.421205003064e-04       3.286587610613e+03 
       9.006228800244e-04       3.499557673121e+03 
       9.629102586023e-04       3.724590769907e+03 
       1.029046371625e-03       3.961613726315e+03 
       1.099052320508e-03       4.210379041523e+03 
       1.172905281518e-03       4.470466176892e+03 
       1.250539634497e-03       4.741292746004e+03 
       1.331850389704e-03       5.022134242805e+03 
       1.416698510612e-03       5.312191286877e+03 
       1.504917533074e-03       5.610530450395e+03 
       1.596320800420e-03       5.916159143242e+03 
       1.690708669444e-03       6.228078523018e+03 
       1.787875165225e-03       6.545293577287e+03 
       1.887613730830e-03       6.866834968941e+03 
       1.989721890091e-03       7.191776043036e+03 
       2.094004788356e-03       7.519245363018e+03 
       2.200277682713e-03       7.848434370103e+03 
       2.308367517734e-03       8.178601636111e+03 
       2.418113751445e-03       8.509073626359e+03 
       2.529368598707e-03       8.839243817620e+03 
       2.641996845201e-03       9.168569645853e+03 
       2.755875362810e-03       9.496568247558e+03 
       2.870892432241e-03       9.822813812316e+03 
       2.986946954714e-03       1.014692887041e+04 
       3.103947613398e-03       1.046858940582e+04 
       3.221812027837e-03       1.078750399848e+04 
       3.340465930702e-03       1.110342465434e+04 
       3.459842385662e-03       1.141613529227e+04 
       3.579881057369e-03       1.172544984758e+04 
       3.700527538939e-03       1.203120771302e+04 
       3.821732738472e-03       1.233327219437e+04 
       3.943452323554e-03       1.263152906353e+04 
       4.065646221063e-03       1.292587941462e+04 
       4.188278168679e-03       1.321624305302e+04 
       4.311315313972e-03       1.350255321226e+04 
       4.434727856837e-03       1.378475681496e+04 
       4.558488731065e-03       1.406281290105e+04 
       4.682573321059e-03       1.433668835974e+04 
       4.806959209934e-03       1.460633627041e+04 
       4.931625955575e-03       1.487178848159e+04 
       5.056554891509e-03       1.513300714960e+04 
       5.181728949793e-03       1.539000415474e+04 
       5.307132503374e-03       1.564280741914e+04 
       5.432751225699e-03       1.589139371457e+04 
       5.558571965559e-03       1.613577468094e+04 
       5.684582635425e-03       1.637596304036e+04 
       5.810772111707e-03       1.661197618750e+04 
       5.937130145567e-03       1.684383839165e+04 
       6.063647283080e-03       1.707157532789e+04 
       6.190314793671e-03       1.729521311054e+04 
       6.317124605899e-03       1.751478640168e+04 
       6.444069249759e-03       1.773031614826e+04 
       6.571141804772e-03       1.794182159402e+04 
       6.698335853232e-03       1.814937923784e+04 
       6.825645438037e-03       1.835297204556e+04 
       6.953065024609e-03       1.855267123766e+04 
       7.080589466470e-03       1.874849833643e+04 
       7.208213974067e-03       1.894047160583e+04 
       7.335934086534e-03       1.912867016744e+04 
       7.463745646050e-03       1.931308343065e+04 
       7.591644774551e-03       1.949376178735e+04 
       7.719627852549e-03       1.967078125223e+04 
       7.847691499835e-03       1.984413180807e+04 
       7.975832557900e-03       2.001386639021e+04 
       8.104048073873e-03       2.018003331483e+04 
       8.232335285865e-03       2.034264916880e+04 
       8.360691609549e-03       2.050174156155e+04 
       8.489114625883e-03       2.065739682524e+04 
       8.617602069851e-03       2.080962856905e+04 
       8.746151820137e-03       2.095845009657e+04 
       8.874761889647e-03       2.110389480908e+04 
       9.003430416790e-03       2.124603917994e+04 
       9.132155657464e-03       2.138490177178e+04 
       9.260935977668e-03       2.152053644282e+04 
       9.389769846707e-03       2.165295873911e+04 
       9.518655830914e-03       2.178219508796e+04 
       9.647592587857e-03       2.190828805122e+04 
       9.776578860994e-03       2.203124463243e+04 
       9.905613474729e-03       2.215116952716e+04 
       1.003469532983e-02       2.226805866477e+04 
       1.016382339922e-02       2.238195891600e+04 
       1.029299672401e-02       2.249289430214e+04 
       1.042221440992e-02       2.260087369833e+04 
       1.055147562387e-02       2.270596251379e+04 
       1.068077959088e-02       2.280819501825e+04 
       1.081012559114e-02       2.290760225762e+04 
       1.093951295736e-02       2.300426040294e+04 
       1.106894107222e-02       2.309803145465e+04 
       1.119840936608e-02       2.318912690684e+04 
       1.132791731481e-02       2.327748618605e+04 
       1.145746443775e-02       2.336320701039e+04 
       1.158705029591e-02       2.344631855353e+04 
       1.171667449017e-02       2.352675319600e+04 
       1.184633665969e-02       2.360464725550e+04 
       1.197603648040e-02       2.367999146322e+04 
       1.210577366362e-02       2.375289914249e+04 
       1.223554795473e-02       2.382316152560e+04 
       1.236535913201e-02       2.389109449873e+04 
       1.249520700545e-02       2.395645318368e+04 
       1.262509141578e-02       2.401950915101e+04 
       1.275501223345e-02       2.408017183150e+04 
       1.288496935775e-02       2.413849331056e+04 
       1.301496271599e-02       2.419448457621e+04 
       1.314499226272e-02       2.424822070498e+04 
       1.327505797901e-02       2.429965036714e+04 
       1.340515987180e-02       2.434886998237e+04 
       1.353529797330e-02       2.439590639306e+04 
       1.366547234042e-02       2.444073498697e+04 
       1.379568305429e-02       2.448341143626e+04 
       1.392593021973e-02       2.452393085239e+04 
       1.405621396487e-02       2.456243034652e+04 
       1.418653444076e-02       2.459876687888e+04 
       1.431689182101e-02       2.463319647434e+04 
       1.444728630145e-02       2.466544661553e+04 
       1.457771809988e-02       2.469575801567e+04 
       1.470818745581e-02       2.472407636809e+04 
       1.483869463022e-02       2.475050419898e+04 
       1.496923990539e-02       2.477496477345e+04 
       1.509982358472e-02       2.479752478080e+04 
       1.523044599259e-02       2.481823181316e+04 
       1.536110747427e-02       2.483706730485e+04 
       1.549180839581e-02       2.485411962644e+04 
       1.562254914397e-02       2.486928535687e+04 
       1.575333012620e-02       2.488272278144e+04 
       1.588415177062e-02       2.489451343095e+04 
       1.601501452598e-02       2.490438095354e+04 
       1.614591886173e-02       2.491262808753e+04 
       1.627686526807e-02       2.491920951777e+04 
       1.640785425596e-02       2.492412668108e+04 
       1.653888635724e-02       2.492736833522e+04 
       1.666996212473e-02       2.492901762139e+04 
       1.680108213232e-02       2.492914248525e+04 
       1.693224697516e-02       2.492749109707e+04 
       1.706345726977e-02       2.492443272212e+04 
       1.719471365421e-02       2.491983353624e+04 
       1.732601678832e-02       2.491367703417e+04 
       1.745736735386e-02       2.490606937152e+04 
       1.758876605479e-02       2.489697923843e+04 
       1.772021361748e-02       2.488644598885e+04 
       1.785171079099e-02       2.487451958986e+04 
       1.798325834731e-02       2.486113824977e+04 
       1.811485708169e-02       2.484641242942e+04 
       1.824650781291e-02       2.483027029726e+04 
       1.837821138366e-02       2.481284238595e+04 
       1.850996866080e-02       2.479409577487e+04 
       1.864178053581e-02       2.477398858001e+04 
       1.877364792508e-02       2.475267358792e+04 
       1.890557177037e-02       2.473007215351e+04 
       1.903755303916e-02       2.470613680897e+04 
       1.916959272514e-02       2.468103006626e+04 
       1.930169184858e-02       2.465474911012e+04 
       1.943385145688e-02       2.462725925626e+04 
       1.956607262496e-02       2.459863974666e+04 
       1.969835645580e-02       2.456877476787e+04 
       1.983070408099e-02       2.453792136335e+04 
       1.996311666120e-02       2.450580720633e+04 
       2.009559538677e-02       2.447259829954e+04 
       2.022814147827e-02       2.443850746679e+04 
       2.036075618713e-02       2.440319343487e+04 
       2.049344079619e-02       2.436689239781e+04 
       2.062619662040e-02       2.432955789630e+04 
       2.075902500742e-02       2.429119495842e+04 
       2.089192733834e-02       2.425184224488e+04 
