# Matter power spectrum P(k) at redshift z=0
# for k=1.05281e-05 to 7.52753 h/Mpc,
# number of wavenumbers equal to 698
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.052808673426e-05       4.927703916002e+01 
       2.352858924850e-05       1.068021511119e+02 
       3.657561012704e-05       1.632553994843e+02 
       4.970490954058e-05       2.192744257822e+02 
       6.295284960798e-05       2.752190645163e+02 
       7.635672464984e-05       3.313573067244e+02 
       8.995510218379e-05       3.879172838218e+02 
       1.037881792750e-04       4.451085392550e+02 
       1.178981588899e-04       5.031329371057e+02 
       1.323296509351e-04       5.621911389486e+02 
       1.471301026669e-04       6.224872273997e+02 
       1.623502630831e-04       6.841578638714e+02 
       1.780446857044e-04       7.475579267165e+02 
       1.942722737312e-04       8.128594841495e+02 
       2.110968708146e-04       8.803111574654e+02 
       2.285878994669e-04       9.501793703590e+02 
       2.468210472554e-04       1.022750932260e+03 
       2.658789981420e-04       1.098335626835e+03 
       2.858522023285e-04       1.177268784692e+03 
       3.068396723921e-04       1.259913822182e+03 
       3.289497859130e-04       1.346664614949e+03 
       3.523010647711e-04       1.437947615366e+03 
       3.770228884296e-04       1.534223513219e+03 
       4.032560825723e-04       1.635988210959e+03 
       4.311533055425e-04       1.743772773904e+03 
       4.608791338532e-04       1.858142047021e+03 
       4.926097263128e-04       1.979691379043e+03 
       5.265319271458e-04       2.109041043166e+03 
       5.628416567827e-04       2.246827827153e+03 
       6.017414415631e-04       2.393693245713e+03 
       6.434369587909e-04       2.550268176070e+03 
       6.881325299149e-04       2.717153753225e+03 
       7.360255881959e-04       2.894898911705e+03 
       7.873002779907e-04       3.083975427072e+03 
       8.421205003064e-04       3.284751734116e+03 
       9.006228800244e-04       3.497467979432e+03 
       9.629102586023e-04       3.722213999407e+03 
       1.029046371625e-03       3.958913377579e+03 
       1.099052320508e-03       4.207315417761e+03 
       1.172905281518e-03       4.466996512281e+03 
       1.250539634497e-03       4.737371408583e+03 
       1.331850389704e-03       5.017713004938e+03 
       1.416698510612e-03       5.307219609475e+03 
       1.504917533074e-03       5.604955884902e+03 
       1.596320800420e-03       5.909927719861e+03 
       1.690708669444e-03       6.221135117559e+03 
       1.787875165225e-03       6.537582282532e+03 
       1.887613730830e-03       6.858299445086e+03 
       1.989721890091e-03       7.182359839960e+03 
       2.094004788356e-03       7.508892209787e+03 
       2.200277682713e-03       7.837088430801e+03 
       2.308367517734e-03       8.166207732048e+03 
       2.418113751445e-03       8.495577427270e+03 
       2.529368598707e-03       8.824592003618e+03 
       2.641996845201e-03       9.152710044124e+03 
       2.755875362810e-03       9.479449947434e+03 
       2.870892432241e-03       9.804387257603e+03 
       2.986946954714e-03       1.012714594287e+04 
       3.103947613398e-03       1.044740347479e+04 
       3.221812027837e-03       1.076486999165e+04 
       3.340465930702e-03       1.107929908771e+04 
       3.459842385662e-03       1.139047630699e+04 
       3.579881057369e-03       1.169821723606e+04 
       3.700527538939e-03       1.200236294216e+04 
       3.821732738472e-03       1.230277842035e+04 
       3.943452323554e-03       1.259935113896e+04 
       4.065646221063e-03       1.289198390456e+04 
       4.188278168679e-03       1.318059823347e+04 
       4.311315313972e-03       1.346512907505e+04 
       4.434727856837e-03       1.374552506495e+04 
       4.558488731065e-03       1.402174695133e+04 
       4.682573321059e-03       1.429376333410e+04 
       4.806959209934e-03       1.456152907091e+04 
       4.931625955575e-03       1.482507755576e+04 
       5.056554891509e-03       1.508437272569e+04 
       5.181728949793e-03       1.533942809171e+04 
       5.307132503374e-03       1.559027315513e+04 
       5.432751225699e-03       1.583688644893e+04 
       5.558571965559e-03       1.607928125965e+04 
       5.684582635425e-03       1.631747195346e+04 
       5.810772111707e-03       1.655147755147e+04 
       5.937130145567e-03       1.678132392062e+04 
       6.063647283080e-03       1.700703832302e+04 
       6.190314793671e-03       1.722864845176e+04 
       6.317124605899e-03       1.744619050553e+04 
       6.444069249759e-03       1.765968701366e+04 
       6.571141804772e-03       1.786915880133e+04 
       6.698335853232e-03       1.807468369772e+04 
       6.825645438037e-03       1.827624637750e+04 
       6.953065024609e-03       1.847391938399e+04 
       7.080589466470e-03       1.866772575833e+04 
       7.208213974067e-03       1.885768528540e+04 
       7.335934086534e-03       1.904387831988e+04 
       7.463745646050e-03       1.922629588814e+04 
       7.591644774551e-03       1.940498970882e+04 
       7.719627852549e-03       1.958003698203e+04 
       7.847691499835e-03       1.975142925524e+04 
       7.975832557900e-03       1.991922071732e+04 
       8.104048073873e-03       2.008346093660e+04 
       8.232335285865e-03       2.024416788313e+04 
       8.360691609549e-03       2.040137047733e+04 
       8.489114625883e-03       2.055515605156e+04 
       8.617602069851e-03       2.070553954670e+04 
       8.746151820137e-03       2.085253558016e+04 
       8.874761889647e-03       2.099617874528e+04 
       9.003430416790e-03       2.113654646507e+04 
       9.132155657464e-03       2.127365851823e+04 
       9.260935977668e-03       2.140756977527e+04 
       9.389769846707e-03       2.153829696550e+04 
       9.518655830914e-03       2.166586761997e+04 
       9.647592587857e-03       2.179032529539e+04 
       9.776578860994e-03       2.191167814963e+04 
       9.905613474729e-03       2.203003149567e+04 
       1.003469532983e-02       2.214538242175e+04 
       1.016382339922e-02       2.225777866474e+04 
       1.029299672401e-02       2.236724520563e+04 
       1.042221440992e-02       2.247379193326e+04 
       1.055147562387e-02       2.257748494418e+04 
       1.068077959088e-02       2.267835933282e+04 
       1.081012559114e-02       2.277644695982e+04 
       1.093951295736e-02       2.287182454375e+04 
       1.106894107222e-02       2.296435574428e+04 
       1.119840936608e-02       2.305425182851e+04 
       1.132791731481e-02       2.314145341510e+04 
       1.145746443775e-02       2.322605854573e+04 
       1.158705029591e-02       2.330809705503e+04 
       1.171667449017e-02       2.338750246778e+04 
       1.184633665969e-02       2.346441114040e+04 
       1.197603648040e-02       2.353881458492e+04 
       1.210577366362e-02       2.361082623554e+04 
       1.223554795473e-02       2.368023908947e+04 
       1.236535913201e-02       2.374736803456e+04 
       1.249520700545e-02       2.381197008071e+04 
       1.262509141578e-02       2.387431598793e+04 
       1.275501223345e-02       2.393431621872e+04 
       1.288496935775e-02       2.399202312849e+04 
       1.301496271599e-02       2.404744815762e+04 
       1.314499226272e-02       2.410066648766e+04 
       1.327505797901e-02       2.415162749754e+04 
       1.340515987180e-02       2.420042755531e+04 
       1.353529797330e-02       2.424709377430e+04 
       1.366547234042e-02       2.429160203343e+04 
       1.379568305429e-02       2.433400808091e+04 
       1.392593021973e-02       2.437430736750e+04 
       1.405621396487e-02       2.441263665753e+04 
       1.418653444076e-02       2.444885383908e+04 
       1.431689182101e-02       2.448321401126e+04 
       1.444728630145e-02       2.451544609828e+04 
       1.457771809988e-02       2.454578992237e+04 
       1.470818745581e-02       2.457419158137e+04 
       1.483869463022e-02       2.460075330224e+04 
       1.496923990539e-02       2.462539878938e+04 
       1.509982358472e-02       2.464819453837e+04 
       1.523044599259e-02       2.466918801414e+04 
       1.536110747427e-02       2.468836076557e+04 
       1.549180839581e-02       2.470580083756e+04 
       1.562254914397e-02       2.472140519215e+04 
       1.575333012620e-02       2.473533149001e+04 
       1.588415177062e-02       2.474766093585e+04 
       1.601501452598e-02       2.475811807046e+04 
       1.614591886173e-02       2.476700447793e+04 
       1.627686526807e-02       2.477427489326e+04 
       1.640785425596e-02       2.477993061275e+04 
       1.653888635724e-02       2.478396026382e+04 
       1.666996212473e-02       2.478644655442e+04 
       1.680108213232e-02       2.478745704863e+04 
       1.693224697516e-02       2.478674037896e+04 
       1.706345726977e-02       2.478466457068e+04 
       1.719471365421e-02       2.478109590866e+04 
       1.732601678832e-02       2.477601764046e+04 
       1.745736735386e-02       2.476953537884e+04 
       1.758876605479e-02       2.476161757394e+04 
       1.772021361748e-02       2.475230316640e+04 
       1.785171079099e-02       2.474164168750e+04 
       1.798325834731e-02       2.472957108934e+04 
       1.811485708169e-02       2.471620126903e+04 
       1.824650781291e-02       2.470146010612e+04 
       1.837821138366e-02       2.468547754619e+04 
       1.850996866080e-02       2.466822029831e+04 
       1.864178053581e-02       2.464964607321e+04 
       1.877364792508e-02       2.462990706861e+04 
       1.890557177037e-02       2.460892424685e+04 
       1.903755303916e-02       2.458664966432e+04 
       1.916959272514e-02       2.456324525971e+04 
       1.930169184858e-02       2.453870773648e+04 
       1.943385145688e-02       2.451300190285e+04 
       1.956607262496e-02       2.448620648266e+04 
       1.969835645580e-02       2.445820508763e+04 
       1.983070408099e-02       2.442925432421e+04 
       1.996311666120e-02       2.439908115761e+04 
       2.009559538677e-02       2.436785110625e+04 
       2.022814147827e-02       2.433577666488e+04 
       2.036075618713e-02       2.430251561422e+04 
       2.049344079619e-02       2.426830382717e+04 
       2.062619662040e-02       2.423309419023e+04 
       2.075902500742e-02       2.419689112458e+04 
       2.089192733834e-02       2.415973274238e+04 
