# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495437887212e-10       7.309026172908e-15       4.815171199967e-13       0.000000000000e+00       8.628903609608e-09       4.854772125126e-10      -2.515854151614e-12 
    3       1.409365943161e-10       1.238791651649e-14       6.068719691962e-13       0.000000000000e+00       5.411291720424e-09       3.469573585520e-10      -2.211507031148e-12 
    4       1.324622774430e-10       1.446512635927e-14       6.277976520578e-13       0.000000000000e+00       3.776588552304e-09       2.639785050808e-10      -1.764116067075e-12 
    5       1.257504767416e-10       1.337853519879e-14       5.879551647006e-13       0.000000000000e+00       2.821984229944e-09       2.093815839131e-10      -1.309529286428e-12 
    6       1.208053913256e-10       1.032310747923e-14       5.173990841429e-13       0.000000000000e+00       2.205212282888e-09       1.709429029041e-10      -8.948468925479e-13 
    7       1.173297571803e-10       6.841600365870e-15       4.365335862016e-13       0.000000000000e+00       1.778233642537e-09       1.425663900787e-10      -5.443860557981e-13 
    8       1.150037074278e-10       4.042374146248e-15       3.576623511406e-13       0.000000000000e+00       1.468351550536e-09       1.208855287041e-10      -2.689334595809e-13 
    9       1.135829010682e-10       2.336357197401e-15       2.880590507346e-13       0.000000000000e+00       1.235838580394e-09       1.038809735166e-10      -7.009986705958e-14 
   10       1.128526891667e-10       1.571653533686e-15       2.317799681368e-13       0.000000000000e+00       1.056623420471e-09       9.029297738014e-11       5.745597593267e-14 
   11       1.126728149389e-10       1.345905907614e-15       1.905574141871e-13       0.000000000000e+00       8.886898862970e-10       7.950622621313e-11       1.233291887460e-13 
   12       1.129346479172e-10       1.288312421113e-15       1.640636561867e-13       0.000000000000e+00       7.765278491383e-10       7.028426673285e-11       1.421600854079e-13 
   13       1.135181529522e-10       1.200674797105e-15       1.505300363066e-13       0.000000000000e+00       6.844563324151e-10       6.274647521661e-11       1.277329345816e-13 
   14       1.143248537159e-10       1.054790798623e-15       1.474046707221e-13       0.000000000000e+00       6.078507019629e-10       5.620932691004e-11       9.279532810971e-14 
   15       1.153611555869e-10       9.105397340050e-16       1.516730192777e-13       0.000000000000e+00       5.433693947879e-10       5.074770630465e-11       4.959311350184e-14 
   16       1.165881727268e-10       8.293959318892e-16       1.602914710266e-13       0.000000000000e+00       4.885455303386e-10       4.611880686632e-11       7.232456825141e-15 
   17       1.179228768587e-10       8.287731532842e-16       1.707806936924e-13       0.000000000000e+00       4.415155572468e-10       4.212235069031e-11      -2.792920707609e-14 
   18       1.193693330969e-10       8.811664360805e-16       1.812740701929e-13       0.000000000000e+00       4.006946005329e-10       3.857273460785e-11      -5.233421657715e-14 
   19       1.209354735897e-10       9.538926645619e-16       1.907919252669e-13       0.000000000000e+00       3.654375301594e-10       3.544037676983e-11      -6.510245745743e-14 
   20       1.225654212373e-10       1.013472815496e-15       1.985909991170e-13       0.000000000000e+00       3.343837601482e-10       3.267209105882e-11      -6.706958881050e-14 
   21       1.242710988884e-10       1.062834165089e-15       2.047508485268e-13       0.000000000000e+00       3.070458375499e-10       3.022365556499e-11      -6.038518103530e-14 
   22       1.260522066014e-10       1.120089788837e-15       2.097242389656e-13       0.000000000000e+00       2.827706819627e-10       2.801369668517e-11      -4.840846313003e-14 
   23       1.278979535861e-10       1.204635700216e-15       2.139590308376e-13       0.000000000000e+00       2.612248132088e-10       2.601113569592e-11      -3.407762184925e-14 
   24       1.297762580538e-10       1.335071215431e-15       2.179755427947e-13       0.000000000000e+00       2.419102417719e-10       2.418236730609e-11      -2.047693814473e-14 
   25       1.317039915981e-10       1.511806345225e-15       2.222685095612e-13       0.000000000000e+00       2.246000750092e-10       2.253677283728e-11      -9.447599907219e-15 
   26       1.336934818092e-10       1.727825392534e-15       2.272832348098e-13       0.000000000000e+00       2.089813614293e-10       2.107676124055e-11      -2.331878583670e-15 
   27       1.357258782690e-10       1.976711989944e-15       2.330399218854e-13       0.000000000000e+00       1.948668546721e-10       1.976942692882e-11       6.620867319205e-16 
   28       1.377655512189e-10       2.252057270953e-15       2.393544108794e-13       0.000000000000e+00       1.820132712503e-10       1.856395063828e-11      -9.525913473850e-17 
   29       1.398222359339e-10       2.553377841000e-15       2.459228010083e-13       0.000000000000e+00       1.703550512187e-10       1.745584867385e-11      -3.801164259589e-15 
   30       1.419101735359e-10       2.881917842965e-15       2.523094506072e-13       0.000000000000e+00       1.597671041095e-10       1.644630543860e-11      -9.226624320301e-15 
   31       1.440332195962e-10       3.238301828611e-15       2.580005822558e-13       0.000000000000e+00       1.500335692756e-10       1.552718029511e-11      -1.492866600228e-14 
   32       1.461942638136e-10       3.620417546123e-15       2.626239872911e-13       0.000000000000e+00       1.411042582269e-10       1.468921480663e-11      -2.002926988457e-14 
   33       1.483866090812e-10       4.024639252850e-15       2.658009003985e-13       0.000000000000e+00       1.329161009272e-10       1.391497671438e-11      -2.370100779711e-14 
   34       1.505973845064e-10       4.447817452454e-15       2.671636662217e-13       0.000000000000e+00       1.253545981632e-10       1.318309427996e-11      -2.518539364874e-14 
   35       1.528332216264e-10       4.892544931475e-15       2.666307499095e-13       0.000000000000e+00       1.183811085795e-10       1.249406638067e-11      -2.459200600381e-14 
   36       1.551019061287e-10       5.363799240793e-15       2.642298480530e-13       0.000000000000e+00       1.119397475377e-10       1.185261320495e-11      -2.238999335060e-14 
   37       1.574058382009e-10       5.866748485017e-15       2.600329635679e-13       0.000000000000e+00       1.059467509570e-10       1.126054195446e-11      -1.915231638351e-14 
   38       1.597454873961e-10       6.403718092408e-15       2.541715753131e-13       0.000000000000e+00       1.003866707181e-10       1.071670081669e-11      -1.535846116691e-14 
   39       1.621158477331e-10       6.976268063799e-15       2.468320931039e-13       0.000000000000e+00       9.524189559211e-11       1.021646105531e-11      -1.154171641110e-14 
   40       1.645046237508e-10       7.586006464404e-15       2.382561878993e-13       0.000000000000e+00       9.046338866840e-11       9.751315791109e-12      -8.351244381870e-15 
   41       1.668978696414e-10       8.234293963356e-15       2.286722637486e-13       0.000000000000e+00       8.598777923259e-11       9.311592848708e-12      -6.389560031207e-15 
   42       1.693007833050e-10       8.921239577509e-15       2.180548506258e-13       0.000000000000e+00       8.180192041751e-11       8.896431675067e-12      -5.644107853707e-15 
   43       1.717225129908e-10       9.646379546805e-15       2.062926224432e-13       0.000000000000e+00       7.789473294171e-11       8.506510734708e-12      -5.882708720934e-15 
   44       1.741701540941e-10       1.040892638599e-14       1.932520638829e-13       0.000000000000e+00       7.423783275685e-11       8.141179939719e-12      -6.802861896374e-15 
   45       1.766484084938e-10       1.120805238668e-14       1.787876066048e-13       0.000000000000e+00       7.079567609766e-11       7.798904349254e-12      -8.072936924955e-15 
   46       1.791590523665e-10       1.204388706518e-14       1.627792992254e-13       0.000000000000e+00       6.756285810326e-11       7.479022558120e-12      -9.481085989042e-15 
   47       1.817008680403e-10       1.291678480003e-14       1.451037660658e-13       0.000000000000e+00       6.453562138685e-11       7.180319741449e-12      -1.082316168056e-14 
   48       1.842694542408e-10       1.382704578709e-14       1.256226483750e-13       0.000000000000e+00       6.170060567519e-11       6.900435456846e-12      -1.185903152544e-14 
   49       1.868569620218e-10       1.477491402191e-14       1.041817292892e-13       0.000000000000e+00       5.903413365758e-11       6.635781576093e-12      -1.231069052330e-14 
   50       1.894553090109e-10       1.576058618074e-14       8.065349298736e-14       0.000000000000e+00       5.650934387077e-11       6.382582566494e-12      -1.195046274543e-14 
   51       1.920674633415e-10       1.678424578652e-14       5.508045118363e-14       0.000000000000e+00       5.412152870710e-11       6.140519623348e-12      -1.089820954789e-14 
   52       1.946987661571e-10       1.784603482925e-14       2.756920842904e-14       0.000000000000e+00       5.186843966839e-11       5.909933835969e-12      -9.401532577340e-15 
   53       1.973536229945e-10       1.894604220888e-14      -1.748430626341e-15       0.000000000000e+00       4.974270475047e-11       5.690761733370e-12      -7.755031888111e-15 
   54       2.000354033999e-10       2.008430223054e-14      -3.271429231221e-14       0.000000000000e+00       4.773148356441e-11       5.482506032423e-12      -6.302657966954e-15 
   55       2.027464830343e-10       2.126081019788e-14      -6.518232726559e-14       0.000000000000e+00       4.582038615521e-11       5.284465645659e-12      -5.357167892745e-15 
   56       2.054886122089e-10       2.247557717669e-14      -9.914796636439e-14       0.000000000000e+00       4.400715956355e-11       5.096559629341e-12      -4.929674605153e-15 
   57       2.082624630720e-10       2.372858620007e-14      -1.346488521275e-13       0.000000000000e+00       4.229079721756e-11       4.918656684890e-12      -4.937031624427e-15 
   58       2.110674023730e-10       2.501977554190e-14      -1.717283600904e-13       0.000000000000e+00       4.066739825587e-11       4.750315098629e-12      -5.277983927573e-15 
   59       2.139013966301e-10       2.634903787830e-14      -2.104359751662e-13       0.000000000000e+00       3.912998876691e-11       4.590763590973e-12      -5.832290264129e-15 
   60       2.167609172985e-10       2.771621944898e-14      -2.508276680073e-13       0.000000000000e+00       3.766834302824e-11       4.438882165618e-12      -6.459845471955e-15 
   61       2.196424300119e-10       2.912106330926e-14      -2.929544278903e-13       0.000000000000e+00       3.627182358010e-11       4.293505514527e-12      -7.029627276308e-15 
   62       2.225474674674e-10       3.056302609830e-14      -3.368240021652e-13       0.000000000000e+00       3.493905079289e-11       4.154456139333e-12      -7.516114870817e-15 
