# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495442760259e-10       7.309265059076e-15       4.815171148058e-13       2.388861350966e-19       8.628903609608e-09       4.854772125126e-10      -2.515854151614e-12 
    3       1.409375667406e-10       1.238839452129e-14       6.068719461075e-13       4.780044756928e-19       5.411291720424e-09       3.469573585520e-10      -2.211507031148e-12 
    4       1.324638933499e-10       1.446592354281e-14       6.277975858840e-13       7.971819615030e-19       3.776588552304e-09       2.639785050808e-10      -1.764116067075e-12 
    5       1.257528917305e-10       1.337973190993e-14       5.879550144264e-13       1.196705757517e-18       2.821984229944e-09       2.093815839131e-10      -1.309529286428e-12 
    6       1.208087576678e-10       1.032478441009e-14       5.173987897667e-13       1.676916253355e-18       2.205212282888e-09       1.709429029041e-10      -8.948468925479e-13 
    7       1.173342233305e-10       6.843838595450e-15       4.365330660525e-13       2.238195780691e-18       1.778233642537e-09       1.425663900787e-10      -5.443860557981e-13 
    8       1.150094176225e-10       4.045255171743e-15       3.576614997239e-13       2.880956111097e-18       1.468351550536e-09       1.208855287041e-10      -2.689334595809e-13 
    9       1.135899950176e-10       2.339962952358e-15       2.880577371304e-13       3.605625228618e-18       1.235838580394e-09       1.038809735166e-10      -7.009986705958e-14 
   10       1.128613018434e-10       1.576066392423e-15       2.317780349582e-13       4.412633898606e-18       1.056623420471e-09       9.029297738014e-11       5.745597593267e-14 
   11       1.126830764637e-10       1.351208675861e-15       1.905546770792e-13       5.302402560342e-18       8.886898862970e-10       7.950622621313e-11       1.233291887460e-13 
   12       1.129466835401e-10       1.294588313277e-15       1.640599038259e-13       6.275329055518e-18       7.765278491383e-10       7.028426673285e-11       1.421600854079e-13 
   13       1.135320831216e-10       1.208007400970e-15       1.505250308446e-13       7.331777668420e-18       6.844563324151e-10       6.274647521661e-11       1.277329345816e-13 
   14       1.143407942294e-10       1.063264028704e-15       1.473981485985e-13       8.472069898096e-18       6.078507019629e-10       5.620932691004e-11       9.279532810971e-14 
   15       1.153792178112e-10       9.202377751443e-16       1.516646923178e-13       9.696477310124e-18       5.433693947879e-10       5.074770630465e-11       4.959311350184e-14 
   16       1.166084638755e-10       8.404031749518e-16       1.602810277314e-13       1.100521672890e-17       4.885455303386e-10       4.611880686632e-11       7.232456825141e-15 
   17       1.179455003133e-10       8.411741250515e-16       1.707678006283e-13       1.239844793402e-17       4.415155572468e-10       4.212235069031e-11      -2.792920707609e-14 
   18       1.193943887632e-10       8.950457246150e-16       1.812583734349e-13       1.387627269448e-17       4.006946005329e-10       3.857273460785e-11      -5.233421657715e-14 
   19       1.209630582344e-10       9.693348481022e-16       1.907730515313e-13       1.543874367619e-17       3.654375301594e-10       3.544037676983e-11      -6.510245745743e-14 
   20       1.225956288952e-10       1.030562381739e-15       1.985685572604e-13       1.708585618710e-17       3.343837601482e-10       3.267209105882e-11      -6.706958881050e-14 
   21       1.243040211557e-10       1.081655448198e-15       2.047244301799e-13       1.881757339217e-17       3.070458375499e-10       3.022365556499e-11      -6.038518103530e-14 
   22       1.260879330072e-10       1.140726895509e-15       2.096934196018e-13       2.063381645024e-17       2.827706819627e-10       2.801369668517e-11      -4.840846313003e-14 
   23       1.279365718108e-10       1.227172459689e-15       2.139233699435e-13       2.253449448718e-17       2.612248132088e-10       2.601113569592e-11      -3.407762184925e-14 
   24       1.298178542259e-10       1.359591118324e-15       2.179345844822e-13       2.451949468631e-17       2.419102417719e-10       2.418236730609e-11      -2.047693814473e-14 
   25       1.317486503901e-10       1.538392513303e-15       2.222217823317e-13       2.658871723503e-17       2.246000750092e-10       2.253677283728e-11      -9.447599907219e-15 
   26       1.337412866309e-10       1.756560534504e-15       2.272302517727e-13       2.874206319897e-17       2.089813614293e-10       2.107676124055e-11      -2.331878583670e-15 
   27       1.357769112719e-10       2.007678385986e-15       2.329801804235e-13       3.097946514632e-17       1.948668546721e-10       1.976942692882e-11       6.620867319205e-16 
   28       1.378198933629e-10       2.285336748125e-15       2.392873927394e-13       3.330087940687e-17       1.820132712503e-10       1.856395063828e-11      -9.525913473850e-17 
   29       1.398799667756e-10       2.589051788293e-15       2.458479724048e-13       3.570632135170e-17       1.703550512187e-10       1.745584867385e-11      -3.801164259589e-15 
   30       1.419713712126e-10       2.920067199408e-15       2.522262624154e-13       3.819584567175e-17       1.597671041095e-10       1.644630543860e-11      -9.226624320301e-15 
   31       1.440979607981e-10       3.279007071346e-15       2.579084706703e-13       4.076954628742e-17       1.500335692756e-10       1.552718029511e-11      -1.492866600228e-14 
   32       1.462626234413e-10       3.663758715755e-15       2.625223760088e-13       4.342757991689e-17       1.411042582269e-10       1.468921480663e-11      -2.002926988457e-14 
   33       1.484586600724e-10       4.070695960121e-15       2.656892018877e-13       4.617015975157e-17       1.329161009272e-10       1.391497671438e-11      -2.370100779711e-14 
   34       1.506731976925e-10       4.496668877787e-15       2.670412835746e-13       4.899754921227e-17       1.253545981632e-10       1.318309427996e-11      -2.518539364874e-14 
   35       1.529128654720e-10       4.944269822747e-15       2.664970819595e-13       5.191004353074e-17       1.183811085795e-10       1.249406638067e-11      -2.459200600381e-14 
   36       1.551854465119e-10       5.418475917201e-15       2.640842925451e-13       5.490798962917e-17       1.119397475377e-10       1.185261320495e-11      -2.238999335060e-14 
   37       1.574933382502e-10       5.924454823782e-15       2.598749212168e-13       5.799177110536e-17       1.059467509570e-10       1.126054195446e-11      -1.915231638351e-14 
   38       1.598370074871e-10       6.464531445135e-15       2.540004594316e-13       6.116172463290e-17       1.003866707181e-10       1.071670081669e-11      -1.535846116691e-14 
   39       1.622114453471e-10       7.040265222878e-15       2.466473358667e-13       6.441820124962e-17       9.524189559211e-11       1.021646105531e-11      -1.154171641110e-14 
   40       1.646043532676e-10       7.653263649692e-15       2.380572454503e-13       6.776159181701e-17       9.046338866840e-11       9.751315791109e-12      -8.351244381870e-15 
   41       1.670017822525e-10       8.304886767891e-15       2.284586232225e-13       7.119228857146e-17       8.598777923259e-11       9.311592848708e-12      -6.389560031207e-15 
   42       1.694089273700e-10       8.995242771620e-15       2.178260430276e-13       7.471054897369e-17       8.180192041751e-11       8.896431675067e-12      -5.644107853707e-15 
   43       1.718349340661e-10       9.723866979593e-15       2.060482320211e-13       7.831659156432e-17       7.789473294171e-11       8.506510734708e-12      -5.882708720934e-15 
   44       1.742868948299e-10       1.048997092315e-14       1.929917363872e-13       8.201063257166e-17       7.423783275685e-11       8.141179939719e-12      -6.802861896374e-15 
   45       1.767695086874e-10       1.129272579778e-14       1.785110578588e-13       8.579284877149e-17       7.079567609766e-11       7.798904349254e-12      -8.072936924955e-15 
   46       1.792845495573e-10       1.213225974557e-14       1.624863238490e-13       8.966325385484e-17       6.756285810326e-11       7.479022558120e-12      -9.481085989042e-15 
   47       1.818307977116e-10       1.300892560560e-14       1.447942467379e-13       9.362178435604e-17       6.453562138685e-11       7.180319741449e-12      -1.082316168056e-14 
   48       1.844038498739e-10       1.392302190892e-14       1.252965655334e-13       9.766833066296e-17       6.170060567519e-11       6.900435456846e-12      -1.185903152544e-14 
   49       1.869958551521e-10       1.487479085634e-14       1.038391712065e-13       1.018027344664e-16       5.903413365758e-11       6.635781576093e-12      -1.231069052330e-14 
   50       1.895987293484e-10       1.586442717876e-14       8.029466321545e-14       1.060247827413e-16       5.650934387077e-11       6.382582566494e-12      -1.195046274543e-14 
   51       1.922154391037e-10       1.689211224530e-14       5.470566638851e-14       1.103341936817e-16       5.412152870710e-11       6.140519623348e-12      -1.089820954789e-14 
   52       1.948513242500e-10       1.795798571787e-14       2.717890387666e-14       1.147306225391e-16       5.186843966839e-11       5.909933835969e-12      -9.401532577340e-15 
   53       1.975107891404e-10       1.906213400341e-14      -2.153692576377e-15       1.192136621076e-16       4.974270475047e-11       5.690761733370e-12      -7.755031888111e-15 
   54       2.001972022695e-10       2.020458874374e-14      -3.313381347859e-14       1.237828400100e-16       4.773148356441e-11       5.482506032423e-12      -6.302657966954e-15 
   55       2.029129382243e-10       2.138534247744e-14      -6.561527050502e-14       1.284376709075e-16       4.582038615521e-11       5.284465645659e-12      -5.357167892745e-15 
   56       2.056597456985e-10       2.260440364099e-14      -9.959337135707e-14       1.331778345334e-16       4.400715956355e-11       5.096559629341e-12      -4.929674605153e-15 
   57       2.084382950791e-10       2.386175258596e-14      -1.351056365281e-13       1.380030371329e-16       4.229079721756e-11       4.918656684890e-12      -4.937031624427e-15 
   58       2.112479513570e-10       2.515732478140e-14      -1.721953152614e-13       1.429129598541e-16       4.066739825587e-11       4.750315098629e-12      -5.277983927573e-15 
   59       2.140866792940e-10       2.649100997275e-14      -2.109117619042e-13       1.479072581733e-16       3.912998876691e-11       4.590763590973e-12      -5.832290264129e-15 
   60       2.169509485883e-10       2.786265134073e-14      -2.513108122612e-13       1.529855613215e-16       3.766834302824e-11       4.438882165618e-12      -6.459845471955e-15 
   61       2.198372228505e-10       2.927198892261e-14      -2.934433209337e-13       1.581475505008e-16       3.627182358010e-11       4.293505514527e-12      -7.029627276308e-15 
   62       2.227470316219e-10       3.071847693830e-14      -3.373169153118e-13       1.633932153492e-16       3.493905079289e-11       4.154456139333e-12      -7.516114870817e-15 
