# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495437884663e-10       7.309026171931e-15       4.815171199234e-13       0.000000000000e+00       8.603320134444e-09       4.849502408875e-10      -2.515798305356e-12 
    3       1.409365939527e-10       1.238791651531e-14       6.068719691873e-13       0.000000000000e+00       5.391846720445e-09       3.465160923978e-10      -2.211468924099e-12 
    4       1.324622776786e-10       1.446512635755e-14       6.277976520395e-13       0.000000000000e+00       3.761740323523e-09       2.636064801926e-10      -1.764096536488e-12 
    5       1.257504755563e-10       1.337853519750e-14       5.879551646627e-13       0.000000000000e+00       2.810397467441e-09       2.090630638032e-10      -1.309522410803e-12 
    6       1.208053899887e-10       1.032310747867e-14       5.173990841090e-13       0.000000000000e+00       2.196043534905e-09       1.706669380765e-10      -8.948478071819e-13 
    7       1.173297553935e-10       6.841600365733e-15       4.365335861671e-13       0.000000000000e+00       1.770939783531e-09       1.423251684699e-10      -5.443912783034e-13 
    8       1.150037076088e-10       4.042374146226e-15       3.576623511115e-13       0.000000000000e+00       1.462527043235e-09       1.206730550862e-10      -2.689406562961e-13 
    9       1.135828979601e-10       2.336357197404e-15       2.880590506668e-13       0.000000000000e+00       1.231155172807e-09       1.036922829443e-10      -7.010757396520e-14 
   10       1.128526858231e-10       1.571653533678e-15       2.317799681282e-13       0.000000000000e+00       1.052826103344e-09       9.012418250902e-11       5.744859109989e-14 
   11       1.126728108771e-10       1.345905907663e-15       1.905574140118e-13       0.000000000000e+00       8.850996080340e-10       7.935087728169e-11       1.233241520142e-13 
   12       1.129346471568e-10       1.288312421122e-15       1.640636561479e-13       0.000000000000e+00       7.733641926230e-10       7.014287103605e-11       1.421542105660e-13 
   13       1.135181478214e-10       1.200674797172e-15       1.505300359222e-13       0.000000000000e+00       6.816493900256e-10       6.261755116329e-11       1.277268300733e-13 
   14       1.143248469140e-10       1.054790798662e-15       1.474046707207e-13       0.000000000000e+00       6.053446276463e-10       5.609118980953e-11       9.279011347246e-14 
   15       1.153611489413e-10       9.105397340278e-16       1.516730187288e-13       0.000000000000e+00       5.411203821809e-10       5.063936220712e-11       4.958890828717e-14 
