# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495442799711e-10       7.309279994288e-15       4.815171147118e-13       2.538223274996e-19       8.603320168699e-09       4.849502410927e-10      -2.515798305360e-12 
    3       1.409375747841e-10       1.238842439292e-14       6.068719460090e-13       5.078773043107e-19       5.391846763435e-09       3.465160926170e-10      -2.211468924099e-12 
    4       1.324639076092e-10       1.446597333004e-14       6.277975856114e-13       8.469709715595e-19       3.761740369844e-09       2.636064805729e-10      -1.764096536484e-12 
    5       1.257529116218e-10       1.337980659371e-14       5.879550138156e-13       1.271391020522e-18       2.810397514866e-09       2.090630643917e-10      -1.309522410799e-12 
    6       1.208087858615e-10       1.032488897121e-14       5.173987886221e-13       1.781478444773e-18       2.196043581157e-09       1.706669385901e-10      -8.948478071793e-13 
    7       1.173342609865e-10       6.843978014536e-15       4.365330640770e-13       2.377616225203e-18       1.770939826387e-09       1.423251687964e-10      -5.443912783015e-13 
    8       1.150094685839e-10       4.045434429813e-15       3.576614965599e-13       3.060216792295e-18       1.462527081935e-09       1.206730555084e-10      -2.689406563000e-13 
    9       1.135900555371e-10       2.340187030857e-15       2.880577322990e-13       3.829708761557e-18       1.231155208075e-09       1.036922835687e-10      -7.010757397857e-14 
   10       1.128613763569e-10       1.576340272833e-15       2.317780280588e-13       4.686523465324e-18       1.052826136296e-09       9.012418301491e-11       5.744859109010e-14 
   11       1.126831660169e-10       1.351537339470e-15       1.905546673301e-13       5.631081810092e-18       8.850996248624e-10       7.935087738436e-11       1.233241520190e-13 
   12       1.129467935561e-10       1.294976740549e-15       1.640598909438e-13       6.663781973112e-18       7.733642078935e-10       7.014287124020e-11       1.421542105682e-13 
   13       1.135322075163e-10       1.208460571480e-15       1.505250137341e-13       7.784988415547e-18       6.816494039622e-10       6.261755162433e-11       1.277268300556e-13 
   14       1.143409370071e-10       1.063786920291e-15       1.473981273866e-13       8.995022633796e-18       6.053446404244e-10       5.609119015779e-11       9.279011345955e-14 
   15       1.153793823765e-10       9.208353636735e-16       1.516646654830e-13       1.029415599764e-17       5.411203939446e-10       5.063936225170e-11       4.958890830594e-14 
   16       1.166086545098e-10       8.410804338847e-16       1.602809956383e-13       1.168260493692e-17       4.865184803259e-10       4.601906102419e-11       7.229796836748e-15 
   17       1.179457127710e-10       8.419360239848e-16       1.707677618611e-13       1.316052864068e-17       4.396803953303e-10       4.203019997530e-11      -2.793143483085e-14 
   18       1.193946244616e-10       8.958972301042e-16       1.812583279940e-13       1.472802809848e-17       3.990278863303e-10       3.848719652729e-11      -5.233654291471e-14 
   19       1.209633211391e-10       9.702809224676e-16       1.907729995751e-13       1.638515504872e-17       3.639185060213e-10       3.536064254808e-11      -6.510493251354e-14 
   20       1.225959223194e-10       1.031607982043e-15       1.985684983013e-13       1.813190370472e-17       3.329958056896e-10       3.259775248668e-11      -6.707205727431e-14 
   21       1.243043455874e-10       1.082805525825e-15       2.047243642123e-13       1.996823606514e-17       3.057739230572e-10       3.015428296698e-11      -6.038739680428e-14 
   22       1.260882861261e-10       1.141986395727e-15       2.096933473996e-13       2.189407202641e-17       2.816024036506e-10       2.794878155786e-11      -4.841013516272e-14 
   23       1.279369549674e-10       1.228546321795e-15       2.139232920619e-13       2.390931946478e-17       2.601492042793e-10       2.595023402833e-11      -3.407846688808e-14 
   24       1.298182735903e-10       1.361084275264e-15       2.179345010519e-13       2.601386430235e-17       2.409184423614e-10       2.412517992339e-11      -2.047678552473e-14 
   25       1.317491080609e-10       1.540009890454e-15       2.222216941374e-13       2.820760557608e-17       2.236838712820e-10       2.248297548093e-11      -9.446750045069e-15 
   26       1.337417782349e-10       1.758307048990e-15       2.272301604883e-13       3.049044328115e-17       2.081334784910e-10       2.102600963976e-11      -2.331123752716e-15 
   27       1.357774327093e-10       2.009558946816e-15       2.329800875457e-13       3.286230910108e-17       1.940808878636e-10       1.972152653933e-11       6.622685037002e-16 
   28       1.378204433918e-10       2.287356255973e-15       2.392872993727e-13       3.532315864912e-17       1.812840433776e-10       1.851890627504e-11      -9.556297598174e-17 
   29       1.398805473798e-10       2.591215135196e-15       2.458478802465e-13       3.787300685925e-17       1.696776120730e-10       1.741362435768e-11      -3.801705051232e-15 
   30       1.419719883867e-10       2.922379268425e-15       2.522261741939e-13       4.051190821735e-17       1.591368806631e-10       1.640674673518e-11      -9.227111369607e-15 
   31       1.440986237581e-10       3.281472736322e-15       2.579083900536e-13       4.323995667364e-17       1.494467518813e-10       1.549002598902e-11      -1.492880390161e-14 
   32       1.462633376040e-10       3.666382841534e-15       2.625223064373e-13       4.605730926501e-17       1.405572561247e-10       1.465418525362e-11      -2.002892385417e-14 
   33       1.484594237790e-10       4.073483402507e-15       2.656891460589e-13       4.896417979699e-17       1.324056579944e-10       1.388181781619e-11      -2.370029535610e-14 
   34       1.506740027709e-10       4.499624482969e-15       2.670412435545e-13       5.196083258269e-17       1.248780118465e-10       1.315160288466e-11      -2.518466560429e-14 
   35       1.529137060033e-10       4.947398425176e-15       2.664970605803e-13       5.504756392873e-17       1.179358342928e-10       1.246411074721e-11      -2.459154182997e-14 
   36       1.551863223361e-10       5.421782338448e-15       2.640842939792e-13       5.822472211381e-17       1.115234466919e-10       1.182416091509e-11      -2.238987973664e-14 
   37       1.574942548095e-10       5.927943872594e-15       2.598749509527e-13       6.149269232021e-17       1.055574103851e-10       1.123365521230e-11      -1.915244595441e-14 
   38       1.598379701662e-10       6.468207920253e-15       2.540005233023e-13       6.485181269143e-17       1.000223382277e-10       1.069140696110e-11      -1.535869757026e-14 
   39       1.622124575189e-10       7.044133914044e-15       2.466474397141e-13       6.830243587602e-17       9.490069825835e-11       1.019270735784e-11      -1.154194660729e-14 
   40       1.646054157684e-10       7.657329337969e-15       2.380573950352e-13       7.184495459442e-17       9.014366902300e-11       9.728956838239e-12      -8.351387171036e-15 
   41       1.670028934988e-10       8.309154224598e-15       2.284588243174e-13       7.547976303875e-17       8.568815716497e-11       9.290403920816e-12      -6.389571255506e-15 
   42       1.694100857408e-10       8.999716752470e-15       2.178263021485e-13       7.920712017883e-17       8.152107472185e-11       8.876211818626e-12      -5.643972856745e-15 
   43       1.718361386978e-10       9.728552222137e-15       2.060485567170e-13       8.302724600495e-17       7.763139184254e-11       8.487124271516e-12      -5.882444428932e-15 
   44       1.742881458106e-10       1.049487214547e-14       1.929921353627e-13       8.694035828525e-17       7.399084845161e-11       8.122575039671e-12      -6.802522809801e-15 
   45       1.767708070167e-10       1.129784769806e-14       1.785115409620e-13       9.094663526872e-17       7.056405579209e-11       7.781109771894e-12      -8.072609734471e-15 
   46       1.792858962970e-10       1.213760700472e-14       1.624869015894e-13       9.504609152473e-17       6.734563512063e-11       7.462068299585e-12      -9.480845216618e-15 
   47       1.818321937236e-10       1.301450288761e-14       1.447949301438e-13       9.923866424307e-17       6.433184842111e-11       7.164213060881e-12      -1.082305321538e-14 
   48       1.844052957804e-10       1.392883386048e-14       1.252973661378e-13       1.035242443802e-16       6.150939626840e-11       6.885157827908e-12      -1.185906653056e-14 
   49       1.869973512934e-10       1.488084210629e-14       1.038401010297e-13       1.079026741006e-16       5.885470672816e-11       6.621285508163e-12      -1.231083900410e-14 
   50       1.896002758223e-10       1.587072233790e-14       8.029573481090e-14       1.123737406989e-16       5.634103741184e-11       6.368795544920e-12      -1.195065764096e-14 
   51       1.922170360836e-10       1.689865590676e-14       5.470689310132e-14       1.169371623568e-16       5.396370405173e-11       6.127371987343e-12      -1.089838654349e-14 
   52       1.948529720958e-10       1.796478245700e-14       2.718029994346e-14       1.215925940976e-16       5.172047075720e-11       5.897368991193e-12      -9.401643307397e-15 
   53       1.975124884338e-10       1.906918837755e-14      -2.152111985944e-15       1.263396283070e-16       4.960400010579e-11       5.678739888837e-12      -7.755047293652e-15 
   54       2.001989538509e-10       2.021190529200e-14      -3.313203221934e-14       1.311777920095e-16       4.760150972096e-11       5.471008148231e-12      -6.302571826080e-15 
   55       2.029147430917e-10       2.139292571971e-14      -6.561327146034e-14       1.361065992144e-16       4.569867415435e-11       5.273492032586e-12      -5.356995720524e-15 
   56       2.056616044475e-10       2.261225807473e-14      -9.959113659890e-14       1.411257294243e-16       4.389325237485e-11       5.086110465243e-12      -4.929436918917e-15 
   57       2.084402076906e-10       2.386988268471e-14      -1.351031473578e-13       1.462348887005e-16       4.218424410930e-11       4.908726491314e-12      -4.936749262406e-15 
   58       2.112499171118e-10       2.516573499392e-14      -1.721925522076e-13       1.514337579110e-16       4.056776699652e-11       4.740892377161e-12      -5.277677816578e-15 
   59       2.140886966824e-10       2.649970472215e-14      -2.109087047207e-13       1.567219921517e-16       3.903687856646e-11       4.581830453826e-12      -5.831981172920e-15 
