# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.413427207467e-10       5.472095330460e-15       4.101063210449e-13       0.000000000000e+00       8.485005465559e-09       4.548973542001e-10      -2.145721751867e-12 
    3       1.336677046384e-10       8.120536695273e-15       4.863723853951e-13       0.000000000000e+00       5.206040270299e-09       3.239558455810e-10      -1.765024314523e-12 
    4       1.261858665849e-10       8.234251627462e-15       4.780543672540e-13       0.000000000000e+00       3.620554798743e-09       2.461219311714e-10      -1.293807348804e-12 
    5       1.204083792575e-10       6.513014174868e-15       4.267625989389e-13       0.000000000000e+00       2.703555612448e-09       1.948139064025e-10      -8.553198849160e-13 
    6       1.162962329153e-10       4.250004478815e-15       3.587126303979e-13       0.000000000000e+00       2.112570071770e-09       1.587177146787e-10      -4.904870424445e-13 
    7       1.135573901241e-10       2.424100319765e-15       2.905577481246e-13       0.000000000000e+00       1.704892733874e-09       1.322019987602e-10      -2.147190598230e-13 
    8       1.118285977559e-10       1.367435176362e-15       2.313149537076e-13       0.000000000000e+00       1.409267169026e-09       1.120320256656e-10      -2.835584948151e-14 
    9       1.108891618429e-10       9.266351038731e-16       1.851988527646e-13       0.000000000000e+00       1.186608616408e-09       9.623001181608e-11       7.804410969059e-14 
   10       1.105382525917e-10       7.865337124734e-16       1.533234650623e-13       0.000000000000e+00       1.014036116833e-09       8.362315104600e-11       1.201363261711e-13 
   11       1.106431639139e-10       7.118583358938e-16       1.347028358724e-13       0.000000000000e+00       8.525702049491e-10       7.376105163683e-11       1.163788300327e-13 
   12       1.111426460136e-10       6.198995078690e-16       1.269336041148e-13       0.000000000000e+00       7.449143959697e-10       6.532567585672e-11       8.583007917067e-14 
   13       1.118956876539e-10       5.292242497457e-16       1.270521022334e-13       0.000000000000e+00       6.565538351342e-10       5.835652326260e-11       4.439986670080e-14 
   14       1.128255447621e-10       4.775166499736e-16       1.322319854653e-13       0.000000000000e+00       5.830400533916e-10       5.230217179937e-11       4.072148711838e-15 
   15       1.139470311668e-10       4.746634004676e-16       1.401033197031e-13       0.000000000000e+00       5.211693680057e-10       4.722143713014e-11      -2.700047983870e-14 
   16       1.152682927575e-10       5.032131159098e-16       1.488321451036e-13       0.000000000000e+00       4.685702235554e-10       4.292396309872e-11      -4.534181297894e-14 
   17       1.166445213299e-10       5.417651732541e-16       1.573859150544e-13       0.000000000000e+00       4.234518195579e-10       3.921164100674e-11      -5.101237497010e-14 
   18       1.181357564370e-10       5.827652428372e-16       1.652852872261e-13       0.000000000000e+00       3.842927252310e-10       3.586070934132e-11      -4.678557570297e-14 
   19       1.197550668274e-10       6.345790301498e-16       1.725814137576e-13       0.000000000000e+00       3.504735630423e-10       3.286957686743e-11      -3.608389463381e-14 
   20       1.214218264341e-10       7.101088604728e-16       1.795341104134e-13       0.000000000000e+00       3.206882691692e-10       3.024487707690e-11      -2.331683572374e-14 
   21       1.231503197278e-10       8.143552758072e-16       1.865274105866e-13       0.000000000000e+00       2.944686655890e-10       2.795525865167e-11      -1.150627214139e-14 
   22       1.249515510933e-10       9.483807268611e-16       1.939794736988e-13       0.000000000000e+00       2.711877442291e-10       2.591617751122e-11      -3.262936225946e-15 
   23       1.268112725382e-10       1.108928152058e-15       2.019956713801e-13       0.000000000000e+00       2.505253203565e-10       2.408459245631e-11       5.780588288207e-16 
   24       1.286906960899e-10       1.291022570868e-15       2.105209910155e-13       0.000000000000e+00       2.320034834953e-10       2.241208461369e-11       8.727594632657e-17 
   25       1.306103572325e-10       1.494599075438e-15       2.193593558312e-13       0.000000000000e+00       2.154044749234e-10       2.089935661246e-11      -3.655156806570e-15 
   26       1.325908302649e-10       1.720715606180e-15       2.281904770454e-13       0.000000000000e+00       2.004280324027e-10       1.954593356003e-11      -8.955015781780e-15 
   27       1.346206074498e-10       1.968749945781e-15       2.365863332038e-13       0.000000000000e+00       1.868945047321e-10       1.833239434612e-11      -1.423456152953e-14 
   28       1.366703158523e-10       2.237553606136e-15       2.440723424526e-13       0.000000000000e+00       1.745704964255e-10       1.722494942979e-11      -1.797086745708e-14 
   29       1.387473044414e-10       2.527439686588e-15       2.504140930083e-13       0.000000000000e+00       1.633930223490e-10       1.621304063282e-11      -1.978717804087e-14 
   30       1.408596636306e-10       2.839170313615e-15       2.554392410634e-13       0.000000000000e+00       1.532419729512e-10       1.528276382872e-11      -1.970810691680e-14 
   31       1.430049773862e-10       3.173828485782e-15       2.590047594410e-13       0.000000000000e+00       1.439101905563e-10       1.441319927181e-11      -1.791530387885e-14 
   32       1.451855836802e-10       3.533841729045e-15       2.611425561510e-13       0.000000000000e+00       1.353495362596e-10       1.360410313238e-11      -1.496506306879e-14 
   33       1.473963283176e-10       3.922394435694e-15       2.619739182669e-13       0.000000000000e+00       1.274995713731e-10       1.285716137647e-11      -1.167855323470e-14 
   34       1.496258853219e-10       4.342558441161e-15       2.616483926096e-13       0.000000000000e+00       1.202505366818e-10       1.216956931007e-11      -8.927534547679e-15 
   35       1.518802085792e-10       4.795060492734e-15       2.602473470431e-13       0.000000000000e+00       1.135653533494e-10       1.153884031596e-11      -7.026350595818e-15 
   36       1.541656445277e-10       5.279716793490e-15       2.578503140705e-13       0.000000000000e+00       1.073903830665e-10       1.095876683529e-11      -6.133748131063e-15 
   37       1.564833758173e-10       5.796257304304e-15       2.545186329411e-13       0.000000000000e+00       1.016452554259e-10       1.042039660127e-11      -6.334525057083e-15 
   38       1.588342655360e-10       6.345225743947e-15       2.501471778509e-13       0.000000000000e+00       9.631515360671e-11       9.921444067087e-12      -7.371989557879e-15 
   39       1.612144075357e-10       6.927357841459e-15       2.445620392206e-13       0.000000000000e+00       9.138320244947e-11       9.459401227942e-12      -8.818935943556e-15 
   40       1.636129750233e-10       7.543335897569e-15       2.375573838750e-13       0.000000000000e+00       8.680239719661e-11       9.028679377644e-12      -1.014018083352e-14 
   41       1.660175080316e-10       8.193799619567e-15       2.289345858440e-13       0.000000000000e+00       8.251198751734e-11       8.622480839960e-12      -1.082433366455e-14 
   42       1.684334501497e-10       8.879391281232e-15       2.186402413164e-13       0.000000000000e+00       7.849936289771e-11       8.239782618100e-12      -1.084768092027e-14 
   43       1.708698484556e-10       9.600719373253e-15       2.066693697681e-13       0.000000000000e+00       7.475388887075e-11       7.880181101534e-12      -1.034942130491e-14 
   44       1.733336943990e-10       1.035834306884e-14       1.930285798249e-13       0.000000000000e+00       7.124833591126e-11       7.541836711518e-12      -9.508299325468e-15 
   45       1.758295463333e-10       1.115275554828e-14       1.777336883795e-13       0.000000000000e+00       6.794861036158e-11       7.222268420566e-12      -8.517824995910e-15 
   46       1.783588718678e-10       1.198433399090e-14       1.608002148542e-13       0.000000000000e+00       6.484952983050e-11       6.921297509717e-12      -7.497215417108e-15 
   47       1.809200690645e-10       1.285337032807e-14       1.422511381874e-13       0.000000000000e+00       6.194749576114e-11       6.638783964192e-12      -6.558075028140e-15 
   48       1.835083097362e-10       1.376008083173e-14       1.221201299175e-13       0.000000000000e+00       5.922970285055e-11       6.373727520454e-12      -5.830262676081e-15 
   49       1.861152740278e-10       1.470460276916e-14       1.004520226581e-13       0.000000000000e+00       5.667345432294e-11       6.124202666881e-12      -5.462817297056e-15 
   50       1.887324950477e-10       1.568704838528e-14       7.728453693817e-14       0.000000000000e+00       5.425300026775e-11       5.887938791851e-12      -5.575061304495e-15 
   51       1.913630788163e-10       1.670769188464e-14       5.258652744675e-14       0.000000000000e+00       5.196382948816e-11       5.664397073802e-12      -6.092116258116e-15 
   52       1.940127067728e-10       1.776682742114e-14       2.630378421822e-14       0.000000000000e+00       4.980378780815e-11       5.453144984189e-12      -6.866339879073e-15 
   53       1.966862105007e-10       1.886471557446e-14      -1.624094448223e-15       0.000000000000e+00       4.776580845129e-11       5.253226594431e-12      -7.721860890821e-15 
   54       1.993874761935e-10       2.000158270260e-14      -3.126411547227e-14       0.000000000000e+00       4.583758134064e-11       5.063127936477e-12      -8.453160121684e-15 
   55       2.021193453636e-10       2.117756585358e-14      -6.267776569634e-14       0.000000000000e+00       4.400531074904e-11       4.881237115832e-12      -8.876696102790e-15 
   56       2.048835069425e-10       2.239253295801e-14      -9.588016138491e-14       0.000000000000e+00       4.226683898884e-11       4.707437857543e-12      -9.004050782647e-15 
   57       2.076804110409e-10       2.364621683447e-14      -1.308714748329e-13       0.000000000000e+00       4.062120368116e-11       4.541851157546e-12      -8.909311614889e-15 
   58       2.105091767592e-10       2.493826300852e-14      -1.676485106201e-13       0.000000000000e+00       3.906466736182e-11       4.384360185003e-12      -8.680429282174e-15 
   59       2.133674965081e-10       2.626822694424e-14      -2.062046305709e-13       0.000000000000e+00       3.759054606760e-11       4.234594918937e-12      -8.419865467408e-15 
   60       2.162515403275e-10       2.763557127565e-14      -2.465296787143e-13       0.000000000000e+00       3.618903792243e-11       4.091916784850e-12      -8.245240624959e-15 
   61       2.191574733112e-10       2.903974126306e-14      -2.886127133169e-13       0.000000000000e+00       3.484994607277e-11       3.955622820173e-12      -8.260786210308e-15 
   62       2.220866223514e-10       3.048041721699e-14      -3.324510893463e-13       0.000000000000e+00       3.357194949479e-11       3.825646478670e-12      -8.462747979571e-15 
   63       2.250413046166e-10       3.195731407856e-14      -3.780432907819e-13       0.000000000000e+00       3.235511841285e-11       3.701987582409e-12      -8.813802294637e-15 
   64       2.280232731676e-10       3.347010791354e-14      -4.253863171841e-13       0.000000000000e+00       3.119812557370e-11       3.584498442112e-12      -9.270104939389e-15 
   65       2.310336724596e-10       3.501843562591e-14      -4.744756977207e-13       0.000000000000e+00       3.009816666818e-11       3.472875459266e-12      -9.781012538466e-15 
