# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.413431982126e-10       5.472340565328e-15       4.101063166802e-13       2.452348275429e-19       8.485005465559e-09       4.548973542001e-10      -2.145721751867e-12 
    3       1.336686573221e-10       8.121027302806e-15       4.863723659553e-13       4.906071412032e-19       5.206040270299e-09       3.239558455810e-10      -1.765024314523e-12 
    4       1.261874494550e-10       8.235069609574e-15       4.780543114409e-13       8.179801869802e-19       3.620554798743e-09       2.461219311714e-10      -1.293807348804e-12 
    5       1.204107444490e-10       6.514241707993e-15       4.267624719177e-13       1.227526547135e-18       2.703555612448e-09       1.948139064025e-10      -8.553198849160e-13 
    6       1.162995291580e-10       4.251723949753e-15       3.587123809291e-13       1.719453042145e-18       2.112570071770e-09       1.587177146787e-10      -4.904870424445e-13 
    7       1.135617622542e-10       2.426394356563e-15       2.905573060066e-13       2.293995280426e-18       1.704892733874e-09       1.322019987602e-10      -2.147190598230e-13 
    8       1.118341863223e-10       1.370386673482e-15       2.313142275687e-13       2.951411580738e-18       1.409267169026e-09       1.120320256656e-10      -2.835584948151e-14 
    9       1.108961028135e-10       9.303272409939e-16       1.851977282301e-13       3.691976488762e-18       1.186608616408e-09       9.623001181608e-11       7.804410969059e-14 
   10       1.105466771649e-10       7.910499664413e-16       1.533218033082e-13       4.515974122347e-18       1.014036116833e-09       8.362315104600e-11       1.201363261711e-13 
   11       1.106531984327e-10       7.172824854602e-16       1.347004725650e-13       5.423691583644e-18       8.525702049491e-10       7.376105163683e-11       1.163788300327e-13 
   12       1.111544119814e-10       6.263156310281e-16       1.269303487238e-13       6.415412670753e-18       7.449143959697e-10       6.532567585672e-11       8.583007917067e-14 
   13       1.119093018434e-10       5.367167136512e-16       1.270477376954e-13       7.491412106806e-18       6.565538351342e-10       5.835652326260e-11       4.439986670080e-14 
