# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.415313560428e-10       5.472097360953e-15       4.100967062862e-13       0.000000000000e+00       8.189442124272e-09       4.521600832481e-10      -2.145742078709e-12 
    3       1.340822496190e-10       8.120435639155e-15       4.863510403059e-13       0.000000000000e+00       5.007968398873e-09       3.211104717634e-10      -1.764992977194e-12 
    4       1.269109544612e-10       8.233820723178e-15       4.780140738853e-13       0.000000000000e+00       3.460685986779e-09       2.430365186346e-10      -1.293708316653e-12 
    5       1.215307710121e-10       6.512163916184e-15       4.266945765295e-13       0.000000000000e+00       2.562831746231e-09       1.915656599887e-10      -8.551488550733e-13 
    6       1.179008242034e-10       4.248983857655e-15       3.586083823040e-13       0.000000000000e+00       1.986391420271e-09       1.554166489941e-10      -4.902476800400e-13 
    7       1.157307352922e-10       2.423397129423e-15       2.904113742971e-13       0.000000000000e+00       1.591388699193e-09       1.289098476471e-10      -2.144270361697e-13 
    8       1.146532896486e-10       1.367467602381e-15       2.311228560502e-13       0.000000000000e+00       1.306699736622e-09       1.087680419199e-10      -2.804273097673e-14 
    9       1.144489523119e-10       9.275035629696e-16       1.849581819881e-13       0.000000000000e+00       1.093340304792e-09       9.299732496423e-11       7.833375748647e-14 
   10       1.149137462595e-10       7.880337497736e-16       1.530357237618e-13       0.000000000000e+00       9.287306489953e-10       8.042945812008e-11       1.203555250230e-13 
   11       1.159178293721e-10       7.137377542365e-16       1.343733441775e-13       0.000000000000e+00       7.945027611961e-10       7.112017001599e-11       1.164870390777e-13 
   12       1.173986708238e-10       6.221325908123e-16       1.265619766956e-13       0.000000000000e+00       6.913521782049e-10       6.273797952075e-11       8.581511089726e-14 
   13       1.192125346229e-10       5.320705644787e-16       1.266302547579e-13       0.000000000000e+00       6.068519378294e-10       5.581769029322e-11       4.426895171396e-14 
   14       1.212849542634e-10       4.813549645041e-16       1.317397924499e-13       0.000000000000e+00       5.366862890892e-10       4.980775131110e-11       3.857714155806e-15 
   15       1.236238298262e-10       4.797876623701e-16       1.395143226276e-13       0.000000000000e+00       4.777469542477e-10       4.477214014924e-11      -2.724847541942e-14 
   16       1.262492484105e-10       5.097862902099e-16       1.481062498973e-13       0.000000000000e+00       4.277378105511e-10       4.052404493691e-11      -4.556445172868e-14 
   17       1.289992117886e-10       5.499536709811e-16       1.564830241200e-13       0.000000000000e+00       3.849261967116e-10       3.686171125996e-11      -5.115746324950e-14 
   18       1.319437676804e-10       5.929210579888e-16       1.641587999332e-13       0.000000000000e+00       3.478485489738e-10       3.355818661279e-11      -4.681947375253e-14 
   19       1.350974681895e-10       6.473165096444e-16       1.711793180211e-13       0.000000000000e+00       3.158806363244e-10       3.061286940696e-11      -3.599682388499e-14 
   20       1.383746597081e-10       7.263209208178e-16       1.778011085320e-13       0.000000000000e+00       2.877858967453e-10       2.803679840904e-11      -2.312788237515e-14 
   21       1.417885737679e-10       8.350091851629e-16       1.844050965804e-13       0.000000000000e+00       2.631088029726e-10       2.579589705031e-11      -1.125300558443e-14 
   22       1.453504420508e-10       9.744498279052e-16       1.914049668445e-13       0.000000000000e+00       2.412421205159e-10       2.380170098888e-11      -2.996478877311e-15 
   23       1.490451049281e-10       1.141490520642e-15       1.988924124141e-13       0.000000000000e+00       2.218748900552e-10       2.201193090506e-11       8.053934040053e-16 
   24       1.528326513704e-10       1.331313007671e-15       2.067956943578e-13       0.000000000000e+00       2.045511205045e-10       2.038111692453e-11       2.306847583519e-16 
   25       1.567334775271e-10       1.544087351590e-15       2.149092368109e-13       0.000000000000e+00       1.890596378356e-10       1.891051372228e-11      -3.621115816283e-15 
   26       1.607683853151e-10       1.781133831715e-15       2.229035124437e-13       0.000000000000e+00       1.751128953965e-10       1.759970871117e-11      -9.029016853046e-15 
   27       1.649256297701e-10       2.042017970283e-15       2.303308090743e-13       0.000000000000e+00       1.625377989451e-10       1.642829146472e-11      -1.439111400715e-14 
   28       1.691753836840e-10       2.325776496083e-15       2.366934354465e-13       0.000000000000e+00       1.511120160689e-10       1.536150996748e-11      -1.816272583865e-14 
   29       1.735240112547e-10       2.633002818839e-15       2.417408124374e-13       0.000000000000e+00       1.407729115447e-10       1.438859616996e-11      -1.996544668890e-14 
   30       1.779783581668e-10       2.964791587549e-15       2.452864503358e-13       0.000000000000e+00       1.314053395842e-10       1.349611988509e-11      -1.983079163974e-14 
   31       1.825348008863e-10       3.322589397602e-15       2.471728274850e-13       0.000000000000e+00       1.228136038146e-10       1.266395871240e-11      -1.795170838511e-14 
   32       1.871951674085e-10       3.709204702888e-15       2.474157902606e-13       0.000000000000e+00       1.149503105695e-10       1.189173644267e-11      -1.490204914429e-14 
   33       1.919540918366e-10       4.128231207442e-15       2.461198127572e-13       0.000000000000e+00       1.077572219796e-10       1.118093417242e-11      -1.152631770954e-14 
   34       1.968002087595e-10       4.583166739674e-15       2.434178192272e-13       0.000000000000e+00       1.011307502956e-10       1.052872658519e-11      -8.719999210331e-15 
   35       2.017397153677e-10       5.075123063657e-15       2.393768404115e-13       0.000000000000e+00       9.503478019085e-11       9.932437410179e-12      -6.803078189246e-15 
   36       2.067794374788e-10       5.604298090696e-15       2.340631095001e-13       0.000000000000e+00       8.941825156179e-11       9.385775274913e-12      -5.933896493517e-15 
   37       2.119208377371e-10       6.170834352528e-15       2.275231839137e-13       0.000000000000e+00       8.420567581293e-11       8.879843437837e-12      -6.193683833252e-15 
   38       2.171634118097e-10       6.775785221510e-15       2.196286353834e-13       0.000000000000e+00       7.938199789028e-11       8.412264824321e-12      -7.312609799174e-15 
   39       2.225011950482e-10       7.420450111099e-15       2.101783905081e-13       0.000000000000e+00       7.493048728803e-11       7.980517201433e-12      -8.844679774841e-15 
   40       2.279209728450e-10       8.106113006981e-15       1.989373575939e-13       0.000000000000e+00       7.080697313957e-11       7.579172986567e-12      -1.023163740536e-14 
   41       2.334081245733e-10       8.834037093399e-15       1.856786519304e-13       0.000000000000e+00       6.695484205222e-11       7.201684215176e-12      -1.094086568387e-14 
   42       2.389680957787e-10       9.605451757564e-15       1.703323237784e-13       0.000000000000e+00       6.336162305346e-11       6.847031744021e-12      -1.095071368399e-14 
   43       2.446107589676e-10       1.042155769336e-14       1.528811812309e-13       0.000000000000e+00       6.001681830300e-11       6.514823667723e-12      -1.041081399597e-14 
   44       2.503442515866e-10       1.128352738302e-14       1.333211978086e-13       0.000000000000e+00       5.689495281133e-11       6.203343475810e-12      -9.513083936560e-15 
   45       2.561741197595e-10       1.219248526383e-14       1.116570481750e-13       0.000000000000e+00       5.396439437479e-11       5.910277551742e-12      -8.464912362832e-15 
   46       2.621010075033e-10       1.314944684659e-14       8.788530700677e-14       0.000000000000e+00       5.121974870623e-11       5.635411337301e-12      -7.392877019984e-15 
