# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.415317745453e-10       5.472130518769e-15       4.100967022968e-13       3.315776934350e-20       8.189442124272e-09       4.521600832481e-10      -2.145742078709e-12 
    3       1.340830846145e-10       8.120502093481e-15       4.863510225033e-13       6.645386634420e-20       5.007968398873e-09       3.211104717634e-10      -1.764992977194e-12 
    4       1.269123417138e-10       8.233931785289e-15       4.780140226418e-13       1.110598241290e-19       3.460685986779e-09       2.430365186346e-10      -1.293708316653e-12 
    5       1.215328437683e-10       6.512331073198e-15       4.266944595350e-13       1.671490602791e-19       2.562831746231e-09       1.915656599887e-10      -8.551488550733e-13 
    6       1.179037126968e-10       4.249218808984e-15       3.586081516491e-13       2.349292280830e-19       1.986391420271e-09       1.554166489941e-10      -4.902476800400e-13 
    7       1.157345663306e-10       2.423711818673e-15       2.904109637061e-13       3.146366715999e-19       1.591388699193e-09       1.289098476471e-10      -2.144270361697e-13 
    8       1.146581862927e-10       1.367874244200e-15       2.311221782860e-13       4.065302767293e-19       1.306699736622e-09       1.087680419199e-10      -2.804273097673e-14 
    9       1.144550336524e-10       9.280146645642e-16       1.849571264419e-13       5.108849580626e-19       1.093340304792e-09       9.299732496423e-11       7.833375748647e-14 
   10       1.149211272952e-10       7.886621270114e-16       1.530341542347e-13       6.279850336770e-19       9.287306489953e-10       8.042945812008e-11       1.203555250230e-13 
   11       1.159266209877e-10       7.144965424525e-16       1.343710968556e-13       7.581177418838e-19       7.945027611961e-10       7.112017001599e-11       1.164870390777e-13 
   12       1.174089798643e-10       6.230352506448e-16       1.265588583157e-13       9.015671451927e-19       6.913521782049e-10       6.273797952075e-11       8.581511089726e-14 
   13       1.192244640565e-10       5.331308832306e-16       1.266260409532e-13       1.058608647757e-18       6.068519378294e-10       5.581769029322e-11       4.426895171396e-14 
   14       1.212986034218e-10       4.825870536771e-16       1.317342262647e-13       1.229504324121e-18       5.366862890892e-10       4.980775131110e-11       3.857714155806e-15 
   15       1.236392947106e-10       4.812059521379e-16       1.395071131848e-13       1.414499220394e-18       4.777469542477e-10       4.477214014924e-11      -2.724847541942e-14 
   16       1.262666220476e-10       5.114055216711e-16       1.480970712011e-13       1.613818745560e-18       4.277378105511e-10       4.052404493691e-11      -4.556445172868e-14 
   17       1.290185846202e-10       5.517888870699e-16       1.564715139758e-13       1.827667222335e-18       3.849261967116e-10       3.686171125996e-11      -5.115746324950e-14 
   18       1.319652279777e-10       5.949875934776e-16       1.641445589757e-13       2.056227049062e-18       3.478485489738e-10       3.355818661279e-11      -4.681947375253e-14 
   19       1.351211024283e-10       6.496299836481e-16       1.711619087856e-13       2.299662406176e-18       3.158806363244e-10       3.061286940696e-11      -3.599682388499e-14 
   20       1.384005530122e-10       7.288972256556e-16       1.777800546865e-13       2.558115004006e-18       2.877858967453e-10       2.803679840904e-11      -2.312788237515e-14 
   21       1.418168102049e-10       8.378644830480e-16       1.843798821051e-13       2.831715201424e-18       2.631088029726e-10       2.579589705031e-11      -1.125300558443e-14 
   22       1.453811050062e-10       9.776005433735e-16       1.913750353869e-13       3.120576987478e-18       2.412421205159e-10       2.380170098888e-11      -2.996478877311e-15 
   23       1.490782772929e-10       1.144953341616e-15       1.988571665920e-13       3.424811031031e-18       2.218748900552e-10       2.201193090506e-11       8.053934040053e-16 
   24       1.528684158074e-10       1.335104882194e-15       2.067544952432e-13       3.744519616736e-18       2.045511205045e-10       2.038111692453e-11       2.306847583519e-16 
   25       1.567719165048e-10       1.548225493460e-15       2.148614033943e-13       4.079811506683e-18       1.890596378356e-10       1.891051372228e-11      -3.621115816283e-15 
   26       1.608095812393e-10       1.785635721446e-15       2.228483212767e-13       4.430795991721e-18       1.751128953965e-10       1.759970871117e-11      -9.029016853046e-15 
   27       1.649696649036e-10       2.046901362612e-15       2.302674939622e-13       4.797595478885e-18       1.625377989451e-10       1.642829146472e-11      -1.439111400715e-14 
   28       1.692223401289e-10       2.331059423463e-15       2.366211873309e-13       5.180341276835e-18       1.511120160689e-10       1.536150996748e-11      -1.816272583865e-14 
   29       1.735739706513e-10       2.638703598355e-15       2.416587795245e-13       5.579186762970e-18       1.407729115447e-10       1.438859616996e-11      -1.996544668890e-14 
   30       1.780314015759e-10       2.970928824640e-15       2.451937382605e-13       5.994299286769e-18       1.314053395842e-10       1.349611988509e-11      -1.983079163974e-14 
   31       1.825910086624e-10       3.329181986251e-15       2.470684997141e-13       6.425858803649e-18       1.228136038146e-10       1.266395871240e-11      -1.795170838511e-14 
   32       1.872546188015e-10       3.716271817926e-15       2.472988691681e-13       6.874063330415e-18       1.149503105695e-10       1.189173644267e-11      -1.490204914429e-14 
   33       1.920168647206e-10       4.135792301751e-15       2.459892804773e-13       7.339128122548e-18       1.077572219796e-10       1.118093417242e-11      -1.152631770954e-14 
   34       1.968663793968e-10       4.591241536367e-15       2.432726187581e-13       7.821281699434e-18       1.011307502956e-10       1.052872658519e-11      -8.719999210331e-15 
   35       2.018093581506e-10       5.083731523959e-15       2.392158777683e-13       8.320751483381e-18       9.503478019085e-11       9.932437410179e-12      -6.803078189246e-15 
   36       2.068526246392e-10       5.613460396621e-15       2.338852554272e-13       8.837775233759e-18       8.941825156179e-11       9.385775274913e-12      -5.933896493517e-15 
   37       2.119976391347e-10       6.180570880936e-15       2.273272759098e-13       9.372593111826e-18       8.420567581293e-11       8.879843437837e-12      -6.193683833252e-15 
