# Matter power spectrum P(k) at redshift z=0
# for k=1.05281e-05 to 5.08923 h/Mpc,
# number of wavenumbers equal to 681
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.052808673426e-05       4.927702354098e+01 
       2.352858924850e-05       1.068021023544e+02 
       3.657561012704e-05       1.632553884334e+02 
       4.970490954058e-05       2.192743756904e+02 
       6.295284960798e-05       2.752190130784e+02 
       7.635672464984e-05       3.313573050975e+02 
       8.995510218379e-05       3.879172357612e+02 
       1.037881792750e-04       4.451085257195e+02 
       1.178981588899e-04       5.031329376198e+02 
       1.323296509351e-04       5.621910922811e+02 
       1.471301026669e-04       6.224871830903e+02 
       1.623502630831e-04       6.842321576789e+02 
       1.780446857044e-04       7.476469211058e+02 
       1.942722737312e-04       8.129650410564e+02 
       2.110968708146e-04       8.804353307384e+02 
       2.285878994669e-04       9.503244530288e+02 
       2.468210472554e-04       1.022919497511e+03 
       2.658789981420e-04       1.098530556142e+03 
       2.858522023285e-04       1.177493336333e+03 
       3.068396723921e-04       1.260171685827e+03 
       3.289497859130e-04       1.346959988477e+03 
       3.523010647711e-04       1.438285259000e+03 
       3.770228884296e-04       1.534608895645e+03 
       4.032560825723e-04       1.636427555762e+03 
       4.311533055425e-04       1.744273251457e+03 
       4.608791338532e-04       1.858711859199e+03 
       4.926097263128e-04       1.980339919269e+03 
       5.265319271458e-04       2.109779195828e+03 
       5.628416567827e-04       2.247667890723e+03 
       6.017414415631e-04       2.394649488083e+03 
       6.434369587909e-04       2.551356793979e+03 
       6.881325299149e-04       2.718393268938e+03 
       7.360255881959e-04       2.896310169970e+03 
       7.873002779907e-04       3.085581996810e+03 
       8.421205003064e-04       3.286580049105e+03 
       9.006228800244e-04       3.499547365964e+03 
       9.629102586023e-04       3.724576703678e+03 
       1.029046371625e-03       3.961594615199e+03 
       1.099052320508e-03       4.210353079051e+03 
       1.172905281518e-03       4.470431285486e+03 
       1.250539634497e-03       4.741245913585e+03 
       1.331850389704e-03       5.022071740950e+03 
       1.416698510612e-03       5.312107891996e+03 
       1.504917533074e-03       5.610420119150e+03 
       1.596320800420e-03       5.916014329105e+03 
       1.690708669444e-03       6.227890015633e+03 
       1.787875165225e-03       6.545050344453e+03 
       1.887613730830e-03       6.866523845849e+03 
       1.989721890091e-03       7.191381538005e+03 
       2.094004788356e-03       7.518749397347e+03 
       2.200277682713e-03       7.847815711194e+03 
       2.308367517734e-03       8.177836208903e+03 
       2.418113751445e-03       8.508133867358e+03 
       2.529368598707e-03       8.838098390701e+03 
       2.641996845201e-03       9.167183319564e+03 
       2.755875362810e-03       9.494902236311e+03 
       2.870892432241e-03       9.820824087740e+03 
       2.986946954714e-03       1.014456940516e+04 
       3.103947613398e-03       1.046580437951e+04 
       3.221812027837e-03       1.078423691782e+04 
       3.340465930702e-03       1.109961306532e+04 
       3.459842385662e-03       1.141171075644e+04 
